Experiment 1 - Localization across shared high-contrast fields
==============================================================

Dataset         : models/test_fields.tgi
Fine grid       : h = 1/128
Coarse grid     : H = 1/16
H/h             : 8
Fields          : 3
Local tolerance : 1.0e-03
Outer tolerance : 1.0e-06

Note: For each support, exact uses tolerance 1e-10 and tol uses 1e-3. All methods share the same manufactured solution, Galerkin construction, two-grid cycle, and stopping rule.

Localization, convergence, sparsity, and timing
-----------------------------------------------
Field                               Method    J/Jglobal        Cycles   Final residual       P nnz      Ac nnz       L nnz    Total ms
--------------------  --------------------  -----------  ------------  ---------------  ----------  ----------  ----------  ----------
random_continuous                      P_G     2.540928            81        9.170e-07       50625        1849        3182      29.810
random_continuous              P_E,2 exact     1.001753           102        9.547e-07      221089       12741       12548     117.077
random_continuous           P_E,2 tol=1e-3     1.001764           102        9.804e-07      221089       12741       12548      75.206
random_continuous              P_E,3 exact     1.000030           103        9.049e-07      455337       23085       16704     218.463
random_continuous           P_E,3 tol=1e-3     1.000044           103        9.115e-07      452995       23039       16696     133.426
random_continuous              P_E,4 exact     1.000001           103        9.066e-07      745641       33293       20336     386.464
random_continuous           P_E,4 tol=1e-3     1.000016           103        9.147e-07      678619       30861       20095     163.559
random_continuous            P_E,inf exact     1.000000           103        9.059e-07     3453183       50625       25425    1640.893
random_continuous         P_E,inf tol=1e-3     1.000016           103        9.146e-07      865613       35209       23519     455.745

channelized_binary                     P_G     2.839656         15263        1.000e-06       50625        1849        3182    5385.711
channelized_binary             P_E,2 exact     1.004068          3107        9.986e-07      221089       12741       12548    1429.878
channelized_binary          P_E,2 tol=1e-3     1.004073          3121        9.976e-07      220848       12741       12548    1387.618
channelized_binary             P_E,3 exact     1.000667          2091        9.978e-07      455337       23085       16704    1293.136
channelized_binary          P_E,3 tol=1e-3     1.000673          2105        9.990e-07      451459       22961       16695    1234.575
channelized_binary             P_E,4 exact     1.000223          1456        9.948e-07      745590       33293       20336    1306.085
channelized_binary          P_E,4 tol=1e-3     1.000230          1475        9.970e-07      719783       32409       20234    1104.699
channelized_binary           P_E,inf exact     1.000000          1004        9.974e-07     2851590       50625       25425    3229.899
channelized_binary        P_E,inf tol=1e-3     1.000008           942        9.917e-07     1174232       41333       24077    1386.922

coarse_checkerboard                    P_G     2.788091         15509        1.000e-06       50625        1849        3182    5392.053
coarse_checkerboard            P_E,2 exact     1.002129          3006        9.987e-07      221089       12741       12548    1409.566
coarse_checkerboard         P_E,2 tol=1e-3     1.002133          3020        9.990e-07      220680       12729       12538    1396.947
coarse_checkerboard            P_E,3 exact     1.000069           162        9.996e-07      455337       23085       16704     267.144
coarse_checkerboard         P_E,3 tol=1e-3     1.000075           166        9.859e-07      450099       22915       16694     162.483
coarse_checkerboard            P_E,4 exact     1.000003           158        9.589e-07      745581       33293       20336     452.064
coarse_checkerboard         P_E,4 tol=1e-3     1.000008           158        9.657e-07      712744       32173       20214     246.788
coarse_checkerboard          P_E,inf exact     1.000000           158        9.443e-07     2567844       50625       25425    1901.573
coarse_checkerboard       P_E,inf tol=1e-3     1.000006           158        9.526e-07     1059375       39441       23907     665.489

