Pilot residual ranking diagnostic
=================================

Version         : 3.3.0
Fine grid       : h=1/128
Coarse grid     : H=1/16
Contrast        : 1e+04
Smoother        : one forward + one backward Gauss-Seidel
Solve tolerance : 1e-6
Timing          : one end-to-end run per candidate

Finite PCG path
---------------
m                r32            r64            r96           r128           r160      cycles
-----  -------------  -------------  -------------  -------------  -------------  ----------
28        4.7725e+00     5.3471e-01     1.2938e-01     4.2236e-02     1.4169e-02         441
30        3.9553e+00     3.6775e-01     5.4333e-02     1.1693e-02     2.7384e-03         336
32        3.8423e+00     4.2508e-01     7.3184e-02     1.6506e-02     3.9435e-03         347
34        3.7836e+00     4.5763e-01     9.1759e-02     2.2958e-02     5.9574e-03         367
36        3.0142e+00     2.6490e-01     2.7828e-02     3.5846e-03     5.2371e-04         268
38        2.2437e+00     1.6143e-01     1.1825e-02     8.8277e-04     7.3027e-05         231
40        1.6992e+00     1.1278e-01     7.8030e-03     5.9325e-04     6.1518e-05         234
42        1.2817e+00     8.0618e-02     5.5398e-03     4.8492e-04     6.5868e-05         238
44        9.4597e-01     5.6653e-02     4.1084e-03     4.6791e-04     7.9342e-05         244
46        6.8061e-01     4.4365e-02     4.8746e-03     7.7017e-04     1.3522e-04         252
48        5.4421e-01     3.9168e-02     5.4234e-03     9.2890e-04     1.6543e-04         256

