Diagnostic extension on additional seeds and coefficient fields
===============================================================

Version         : 3.3.0
Cases           : 8
Seeds           : 101, 313, 701, 907
Oracle          : m=0 and m=12,16,...,48
Solve tolerance : 1e-6

Note: This historical diagnostic set is rerun with the v3.3 data-driven selector. Candidate locations come from pilot forecasts and PCG energy-residual decay rather than case-specific step values. The oracle is evaluation-only.

Post-diagnosis validation
-------------------------
1/h      1/H    Contrast    Seed              Topology  Selected m   Adaptive cycles   Adaptive setup ms   Oracle m   Oracle cycles     Gap %  Geometric cycles  Fixed-40 cycles   Forecast
-----  -----  ----------  ------  --------------------  ----------  ----------------  ------------------  ---------  --------------  --------  ----------------  ---------------  ---------
32         8       1e+04     101     parallel-channels          12                41               5.206         12              41      0.00                54               44         39
32         8       1e+06     313    meandering-channel          24                69              18.215         24              69      0.00            failed               73         62
64         8       1e+02     101         cross-channel          12               143              28.424         12             143      0.00               393              296        125
64         8       1e+04     313    meandering-channel          46               372              54.267         48             332     12.05            failed              354        280
64        16       1e+04     101     diagonal-channels          20                87              86.522         20              87      0.00            failed              297         67
64        16       1e+06     313     parallel-channels          34                55             147.988         32              55      0.00            failed               55         50
64         8       1e+04     701            continuous          34               143              34.652         44             134      6.72               368              138        122
64        16       1e+06     907               checker          34                57             140.714         40              54      5.56            failed               54         56

