Additional policy stress test on seeds and coefficient fields
=============================================================

Version         : 3.3.0
Cases           : 8
Seeds           : 1301, 1601, 1907, 2203
Oracle          : m=0 and m=12,16,...,48
Solve tolerance : 1e-6

Note: This set was held out for v3.2 but informed the v3.3 selector design, so it is reported as a stress test rather than independent held-out evidence. Six cases use channel fields and two use continuous or checkerboard fields. The oracle is evaluation-only.

Policy stress test
------------------
1/h      1/H    Contrast    Seed              Topology  Selected m   Adaptive cycles   Adaptive setup ms   Oracle m   Oracle cycles     Gap %  Geometric cycles  Fixed-40 cycles   Forecast
-----  -----  ----------  ------  --------------------  ----------  ----------------  ------------------  ---------  --------------  --------  ----------------  ---------------  ---------
32         8       1e+02    1301     diagonal-channels          12                62              10.533         12              62      0.00                99               79         60
32         8       1e+06    1601    meandering-channel          24                56              14.323         20              56      0.00            failed               56         46
64         8       1e+02    1907     parallel-channels          12               127              37.308         12             127      0.00               196              200        105
64         8       1e+04    2203         cross-channel          46               269              58.266         36             210     28.10            failed              281        136
64        16       1e+02    1301    meandering-channel          12                50              42.854         12              50      0.00               242               56         46
64        16       1e+06    1601     diagonal-channels          24                70             142.111         24              70      0.00            failed              242         64
64         8       1e+06    1907            continuous          12               229              45.640         12             229      0.00               584              270        157
64        16       1e+04    2203               checker          18                61              78.760         24              56      8.93            failed               56         56

