1/h,1/H,Contrast,Topology,Method,m,One-time setup ms,Avg cycles,Max cycles,Avg solve ms,Break-even vs G,Break-even vs m40
64,8,1e+04,meandering-channel,geometric,0,1.108,1113.4,1240,110.540,0,0
64,8,1e+04,meandering-channel,fixed,40,17.388,188.6,203,30.422,1,0
64,8,1e+04,meandering-channel,adaptive-v3.3,30,34.337,182.0,192,24.321,1,3
64,16,1e+04,diagonal-channels,geometric,0,0.514,4000.0,failed,399.975,0,0
64,16,1e+04,diagonal-channels,fixed,40,77.204,49.2,54,18.574,1,0
64,16,1e+04,diagonal-channels,adaptive-v3.3,22,92.961,55.0,60,13.507,1,4
64,16,1e+06,cross-channel,geometric,0,0.426,4000.0,failed,417.324,0,0
64,16,1e+06,cross-channel,fixed,40,71.666,116.0,124,43.731,1,0
64,16,1e+06,cross-channel,adaptive-v3.3,26,142.644,59.4,60,16.212,1,3
128,16,1e+04,cross-channel,geometric,0,1.086,4000.0,failed,1219.440,0,0
128,16,1e+04,cross-channel,fixed,40,295.658,231.4,247,186.688,1,0
128,16,1e+04,cross-channel,adaptive-v3.3,40,441.636,231.4,247,184.457,1,66
