Five-right-hand-side workload and setup break-even study
========================================================

Version                      : 3.2.0
Problems                     : 4
Right-hand sides per problem : 5
Solve tolerance              : 1e-6

Note: Each hierarchy is constructed once and reused for five distinct smooth/localized right-hand sides. Break-even is the smallest RHS count at which setup plus mean solve time favors the method over the named baseline; 'never' means the measured per-RHS time is not lower. Timings are single-run wall-clock measurements and should be read as order-of-magnitude evidence, not microbenchmarks.

Amortized workload
------------------
1/h      1/H    Contrast              Topology         Method      m   One-time setup ms   Avg cycles  Max cycles   Avg solve ms  Break-even vs G  Break-even vs m40
-----  -----  ----------  --------------------  -------------  -----  ------------------  -----------  ----------  -------------  ---------------  -----------------
64         8       1e+04    meandering-channel      geometric      0               0.798       1113.4        1240        112.647                0                  0
64         8       1e+04    meandering-channel          fixed     40              25.918        188.6         203         27.581                1                  0
64         8       1e+04    meandering-channel    budget-v3.2     40              59.802        188.6         203         27.029                1              never
64         8       1e+04    meandering-channel    staged-v3.1     34             157.867        175.6         188         25.539                2                 65
64        16       1e+04     diagonal-channels      geometric      0               0.438       4000.0      failed        430.387                0                  0
64        16       1e+04     diagonal-channels          fixed     40             108.552         49.2          54         18.433                1                  0
64        16       1e+04     diagonal-channels    budget-v3.2     24              99.851         54.4          58         13.897                1                  0
64        16       1e+04     diagonal-channels    staged-v3.1     28             194.479         49.4          55         14.184                1                 21
64        16       1e+06         cross-channel      geometric      0               0.509       4000.0      failed        427.379                0                  0
64        16       1e+06         cross-channel          fixed     40             103.915        116.0         124         48.575                1                  0
64        16       1e+06         cross-channel    budget-v3.2     24             183.832         62.8          65         20.986                1                  3
64        16       1e+06         cross-channel    staged-v3.1     28             245.595         58.8          61         19.274                1                  5

128       16       1e+04         cross-channel      geometric      0               1.480       4000.0      failed       1350.043                0                  0
128       16       1e+04         cross-channel          fixed     40             331.160        231.4         247        209.854                1                  0
128       16       1e+04         cross-channel    budget-v3.2     40             486.940        231.4         247        207.239                1              never
128       16       1e+04         cross-channel    staged-v3.1     38            1561.930        232.4         249        193.555                2                 76

