m,rho_TG,spectral_stage_difference,rho_eff,cycles,status
1,0.9998298427,3.26211e-06,0.9998480979,12000,slow-limit
2,0.9997797427,1.94416e-06,0.9997673901,12000,slow-limit
3,0.9996551412,5.87632e-07,0.9995954263,12000,slow-limit
4,0.9993617255,5.89899e-05,0.9993046816,12000,slow-limit
5,0.9988709684,1.07020e-10,0.9990616376,12000,slow-limit
6,0.9987245107,1.11022e-15,0.9989233336,12000,slow-limit
7,0.9985425987,5.12923e-14,0.9987624878,11158,converged
8,0.9981910216,2.17826e-13,0.9984758691,9058,converged
9,0.9979543185,1.58762e-13,0.9982858436,8053,converged
10,0.9977272021,1.67644e-13,0.9980987460,7260,converged
11,0.9975885495,4.44089e-16,0.9979733042,6810,converged
12,0.9969939562,2.00950e-13,0.9975016133,5523,converged
13,0.9968485085,1.28342e-13,0.9973919755,5291,converged
14,0.9962938120,8.21565e-14,0.9969453589,4516,converged
15,0.9956274891,2.22045e-16,0.9959998588,3447,converged
16,0.9963772080,0.00000e+00,0.9965882630,4043,converged
17,0.9962261019,1.54987e-13,0.9964387041,3873,converged
18,0.9955498987,0.00000e+00,0.9958101563,3291,converged
19,0.9942062859,6.66134e-16,0.9945765613,2541,converged
20,0.9920060933,0.00000e+00,0.9926006036,1861,converged
21,0.9894813364,6.48370e-14,0.9904002739,1433,converged
22,0.9866782681,0.00000e+00,0.9880327047,1148,converged
23,0.9849604827,8.88178e-16,0.9865719893,1022,converged
24,0.9834850356,6.66134e-16,0.9851882189,926,converged
25,0.9808406294,7.48290e-14,0.9826377456,789,converged
26,0.9767921392,1.20348e-13,0.9787500816,644,converged
27,0.9714597961,1.45883e-13,0.9737679166,520,converged
28,0.9664997689,9.63674e-14,0.9691224106,441,converged
29,0.9616573363,1.93401e-13,0.9646597411,384,converged
30,0.9559994579,4.01901e-14,0.9596997125,336,converged
31,0.9543533646,0.00000e+00,0.9586120958,327,converged
32,0.9565222533,3.93019e-14,0.9608744091,347,converged
33,0.9589082621,4.21885e-15,0.9630638207,368,converged
34,0.9588641081,2.84217e-14,0.9630463592,367,converged
35,0.9537211625,0.00000e+00,0.9585523094,327,converged
36,0.9494316770,3.10862e-15,0.9496446657,268,converged
37,0.9495801040,2.22045e-16,0.9421552499,232,converged
38,0.9496216510,1.99840e-15,0.9417636748,231,converged
39,0.9496383738,0.00000e+00,0.9423219795,233,converged
40,0.9496442869,4.44089e-16,0.9426291966,234,converged
41,0.9496478702,2.22045e-16,0.9427332802,235,converged
42,0.9496571608,0.00000e+00,0.9434999303,238,converged
43,0.9496790250,0.00000e+00,0.9444069345,242,converged
44,0.9497025344,0.00000e+00,0.9449280516,244,converged
45,0.9497142737,0.00000e+00,0.9455665166,247,converged
46,0.9497198671,0.00000e+00,0.9465688022,252,converged
47,0.9497204370,0.00000e+00,0.9470243844,254,converged
48,0.9497206029,0.00000e+00,0.9473432569,256,converged
49,0.9497205203,0.00000e+00,0.9478946192,259,converged
50,0.9497267036,2.22045e-16,0.9487437957,263,converged
51,0.9507408416,4.44089e-16,0.9499180559,269,converged
52,0.9524429871,0.00000e+00,0.9511379676,276,converged
53,0.9542862660,0.00000e+00,0.9522003895,283,converged
54,0.9562736351,0.00000e+00,0.9530392216,288,converged
55,0.9581870498,0.00000e+00,0.9531547268,288,converged
56,0.9599620848,0.00000e+00,0.9511605463,276,converged
57,0.9615166351,0.00000e+00,0.9522992359,283,converged
58,0.9627866046,0.00000e+00,0.9582541425,324,converged
59,0.9636750378,0.00000e+00,0.9608281097,346,converged
60,0.9642926547,0.00000e+00,0.9622603309,360,converged
61,0.9648413095,0.00000e+00,0.9628795648,366,converged
