m,Interpolation energy,Normalized energy excess,Effective factor
1,2.001053839594e+10,1.000000000000e+00,0.999829791
2,1.727759028047e+10,7.521347375213e-01,0.999803524
3,1.484342511244e+10,5.313676527475e-01,0.999744094
4,1.293297692627e+10,3.580991818112e-01,0.999597952
5,1.171826702277e+10,2.479308301461e-01,0.999117221
6,1.119844985904e+10,2.007859110752e-01,0.998432940
7,1.090202719041e+10,1.739017993175e-01,0.997409428
8,1.055525237519e+10,1.424509898017e-01,0.995146823
9,1.029188022893e+10,1.185644016177e-01,0.995499707
10,1.008907776797e+10,1.001711928582e-01,0.996203999
11,9.928907502336e+09,8.564451937017e-02,0.996299646
12,9.773086688870e+09,7.151232029526e-02,0.995358617
13,9.591856521981e+09,5.507561495463e-02,0.994193878
14,9.449225088904e+09,4.213962930702e-02,0.995686554
15,9.351720608918e+09,3.329644147341e-02,0.995879209
16,9.284862258214e+09,2.723271031356e-02,0.996589984
17,9.240628552285e+09,2.322092572513e-02,0.996450187
18,9.202784452666e+09,1.978864772758e-02,0.995805691
19,9.162530992762e+09,1.613785232883e-02,0.994556011
20,9.126248193794e+09,1.284717679838e-02,0.992609732
21,9.100970393807e+09,1.055460179731e-02,0.990438228
22,9.080901873916e+09,8.734483470875e-03,0.987796301
23,9.063641370966e+09,7.169038788580e-03,0.985673697
24,9.048537268072e+09,5.799169230088e-03,0.983842234
25,9.035217955284e+09,4.591171558440e-03,0.981467599
26,9.025057511674e+09,3.669668143095e-03,0.978360217
27,9.016786560319e+09,2.919532596521e-03,0.974708350
28,9.010045411871e+09,2.308142822924e-03,0.971623823
29,9.005097072216e+09,1.859352192576e-03,0.968061046
30,9.001299441617e+09,1.514925344550e-03,0.963215107
31,8.998512476409e+09,1.262160991307e-03,0.961333097
32,8.996111575430e+09,1.044410808713e-03,0.962130911
33,8.994097553780e+09,8.617487222709e-04,0.963391977
34,8.992309859532e+09,6.996134436344e-04,0.963124083
35,8.990834821474e+09,5.658345792427e-04,0.958919559
36,8.989666782224e+09,4.598990316124e-04,0.950913162
37,8.988755246966e+09,3.772271636023e-04,0.947227232
38,8.988028693725e+09,3.113322756074e-04,0.945641411
39,8.987426954485e+09,2.567574179046e-04,0.944758071
40,8.986951069795e+09,2.135969630875e-04,0.944457785
41,8.986577951171e+09,1.797568967040e-04,0.944262516
42,8.986260188578e+09,1.509373563040e-04,0.943892641
43,8.985998975507e+09,1.272465858440e-04,0.943169306
44,8.985778056478e+09,1.072102914376e-04,0.942258148
45,8.985583743908e+09,8.958707499907e-05,0.941349325
46,8.985409281429e+09,7.376416646540e-05,0.941329830
47,8.985263080225e+09,6.050441975407e-05,0.945955532
48,8.985151517457e+09,5.038621272563e-05,0.946581158
49,8.985065697122e+09,4.260272065219e-05,0.943959876
50,8.984995647834e+09,3.624958687989e-05,0.942392401
51,8.984935273022e+09,3.077388153360e-05,0.941477750
52,8.984883086722e+09,2.604083484866e-05,0.941056085
53,8.984841091537e+09,2.223207338589e-05,0.941012129
54,8.984807000810e+09,1.914020822844e-05,0.941274833
55,8.984778778315e+09,1.658056347794e-05,0.941894277
56,8.984754577044e+09,1.438562454118e-05,0.942897089
57,8.984729927184e+09,1.215000069406e-05,0.943927621
58,8.984708699358e+09,1.022473888559e-05,0.944847560
59,8.984688659892e+09,8.407255539449e-06,0.946807438
60,8.984673023028e+09,6.989067146023e-06,0.950188775
61,8.984661541037e+09,5.947705737446e-06,0.954295308
62,8.984651094361e+09,5.000242435366e-06,0.958687218
63,8.984642588677e+09,4.228817715694e-06,0.962998238
64,8.984635120612e+09,3.551500093386e-06,0.966957278
65,8.984628265605e+09,2.929783959556e-06,0.970399719
66,8.984621331109e+09,2.300858502919e-06,0.972991110
67,8.984615966214e+09,1.814288216040e-06,0.974949176
68,8.984611932762e+09,1.448473562356e-06,0.976491050
69,8.984608335535e+09,1.122222385929e-06,0.977717905
70,8.984605739977e+09,8.868177145481e-07,0.978594563
71,8.984603753733e+09,7.066748867116e-07,0.979291690
72,8.984602214961e+09,5.671157138436e-07,0.979894782
73,8.984601036534e+09,4.602380127612e-07,0.980409852
74,8.984600145247e+09,3.794025972312e-07,0.980813004
75,8.984599396684e+09,3.115115147178e-07,0.981101567
76,8.984598782120e+09,2.557734835149e-07,0.981306285
77,8.984598269360e+09,2.092686479590e-07,0.981425257
78,8.984597817338e+09,1.682723972142e-07,0.981470786
79,8.984597422426e+09,1.324557762748e-07,0.981450817
80,8.984597118140e+09,1.048584684542e-07,0.981382952
81,8.984596885135e+09,8.372608199905e-08,0.981290834
82,8.984596711216e+09,6.795249665765e-08,0.981198612
83,8.984596579046e+09,5.596526635626e-08,0.981106766
84,8.984596467640e+09,4.586132034147e-08,0.981019727
85,8.984596376061e+09,3.755551804222e-08,0.980933967
86,8.984596302527e+09,3.088632248125e-08,0.980850144
87,8.984596242684e+09,2.545882878019e-08,0.980795126
88,8.984596192578e+09,2.091445542680e-08,0.980775441
89,8.984596149980e+09,1.705108901056e-08,0.980798866
90,8.984596116008e+09,1.396995031523e-08,0.980856389
91,8.984596087532e+09,1.138733800056e-08,0.980938886
92,8.984596063687e+09,9.224660623825e-09,0.981030758
93,8.984596044147e+09,7.452483002428e-09,0.981129183
94,8.984596027604e+09,5.952107958959e-09,0.981234115
95,8.984596014669e+09,4.778992645050e-09,0.981341113
96,8.984596004697e+09,3.874576515896e-09,0.981442014
97,8.984595996957e+09,3.172563897054e-09,0.981537287
98,8.984595990650e+09,2.600630158736e-09,0.981622494
99,8.984595985382e+09,2.122796525634e-09,0.981699024
100,8.984595980968e+09,1.722465725844e-09,0.981768055
101,8.984595977180e+09,1.378960926637e-09,0.981831628
102,8.984595974032e+09,1.093411908437e-09,0.981884349
103,8.984595971532e+09,8.666668282530e-10,0.981929958
104,8.984595969601e+09,6.915065777295e-10,0.981969164
105,8.984595968105e+09,5.558832794471e-10,0.982001723
106,8.984595966913e+09,4.477476720872e-10,0.982029150
107,8.984595965960e+09,3.613584782802e-10,0.982052076
108,8.984595965221e+09,2.942725975926e-10,0.982070238
109,8.984595964598e+09,2.378325318014e-10,0.982085546
110,8.984595964088e+09,1.915696581585e-10,0.982095755
111,8.984595963685e+09,1.550342095374e-10,0.982106452
112,8.984595963365e+09,1.259430988089e-10,0.982113365
113,8.984595963114e+09,1.032469846697e-10,0.982119215
114,8.984595962906e+09,8.430279330217e-11,0.982124377
115,8.984595962736e+09,6.887854866143e-11,0.982131269
116,8.984595962595e+09,5.616882161639e-11,0.982135238
117,8.984595962479e+09,4.558199540835e-11,0.982138670
118,8.984595962385e+09,3.708208866721e-11,0.982141635
119,8.984595962310e+09,3.024130366072e-11,0.982144261
120,8.984595962250e+09,2.480500300037e-11,0.982146413
121,8.984595962201e+09,2.039278748955e-11,0.982148237
122,8.984595962162e+09,1.684637369721e-11,0.982152150
123,8.984595962130e+09,1.400315350840e-11,0.982153406
124,8.984595962104e+09,1.164429791734e-11,0.982154492
125,8.984595962083e+09,9.723792287253e-12,0.982155448
126,8.984595962066e+09,8.129713798576e-12,0.982156349
127,8.984595962052e+09,6.855315944415e-12,0.982157221
128,8.984595962040e+09,5.810126337407e-12,0.982157997
