m,rho_TG,spectral_stage_difference,rho_eff,cycles,status
1,0.9998295575,1.19169e-06,0.9998297914,12000,slow-limit
2,0.9997945283,4.41395e-06,0.9998035237,12000,slow-limit
3,0.9997303921,1.06612e-07,0.9997440940,12000,slow-limit
4,0.9995650024,1.49976e-11,0.9995979519,12000,slow-limit
5,0.9990451048,3.59712e-14,0.9991172207,12000,slow-limit
6,0.9982956733,7.32747e-15,0.9984329397,8810,converged
7,0.9971293889,0.00000e+00,0.9974094278,5327,converged
8,0.9945892176,0.00000e+00,0.9951468227,2840,converged
9,0.9952175867,0.00000e+00,0.9954997070,3064,converged
10,0.9959919661,8.23785e-14,0.9962039986,3633,converged
11,0.9960408398,3.77476e-15,0.9962996457,3727,converged
12,0.9949565141,1.55431e-15,0.9953586169,2970,converged
13,0.9947029111,2.62013e-14,0.9941938777,2373,converged
14,0.9955958214,8.32667e-14,0.9956865540,3197,converged
15,0.9956587193,6.66134e-16,0.9958792094,3346,converged
16,0.9964374884,0.00000e+00,0.9965899843,4045,converged
17,0.9962874664,8.23785e-14,0.9964501866,3885,converged
18,0.9955906593,0.00000e+00,0.9958056912,3288,converged
19,0.9942323557,6.66134e-16,0.9945560112,2531,converged
20,0.9921002689,1.33227e-15,0.9926097316,1863,converged
21,0.9896997516,2.31148e-13,0.9904382279,1438,converged
22,0.9867679391,0.00000e+00,0.9877963010,1126,converged
23,0.9844174922,2.95985e-13,0.9856736967,958,converged
24,0.9824107428,9.63674e-14,0.9838422344,849,converged
25,0.9798059667,8.88178e-16,0.9814675994,739,converged
26,0.9763729622,1.77636e-15,0.9783602173,632,converged
27,0.9723177042,5.83977e-14,0.9747083496,540,converged
28,0.9688470745,2.88658e-14,0.9716238228,480,converged
29,0.9647917491,1.32783e-13,0.9680610456,426,converged
30,0.9592601265,7.10543e-15,0.9632151073,369,converged
31,0.9570345414,1.03695e-13,0.9613330968,351,converged
32,0.9578397816,4.84057e-14,0.9621309107,358,converged
33,0.9592986169,0.00000e+00,0.9633919766,371,converged
34,0.9590541106,2.44249e-15,0.9631240829,368,converged
35,0.9543420175,6.66134e-16,0.9589195585,330,converged
36,0.9493862032,1.33227e-15,0.9509131624,275,converged
37,0.9495514981,2.22045e-16,0.9472272320,255,converged
38,0.9496036518,0.00000e+00,0.9456414106,248,converged
39,0.9496293619,4.44089e-16,0.9447580715,244,converged
40,0.9496422338,6.66134e-16,0.9444577847,242,converged
41,0.9496503377,1.77636e-15,0.9442625162,241,converged
42,0.9496614863,0.00000e+00,0.9438926406,240,converged
43,0.9496826519,4.44089e-16,0.9431693055,237,converged
44,0.9497039590,0.00000e+00,0.9422581480,233,converged
45,0.9497126663,6.66134e-16,0.9413493246,229,converged
46,0.9497129680,0.00000e+00,0.9413298303,229,converged
