Sparse localization: relative magnitude pruning of the global basis
===================================================================

Version                : 3.4.0
Fine grid              : h=1/128
Coarse grid            : H=1/16
Contrast               : 1e+04
Smoother               : one forward + one backward Gauss-Seidel
Solve tolerance        : 1e-6
Timing                 : one end-to-end run per candidate
Global solve tolerance : 1e-10

Note: For each column, an F entry is dropped when its magnitude is at most delta times that column's maximum magnitude. C injection is always preserved. Build and total times include construction of the dense global reference, so this is a diagnostic oracle study.

Global pruning study
--------------------
Field                    Method             Parameter  P density %    Setup ms    Total ms        Cycles
-----------  ------------------  --------------------  -----------  ----------  ----------  ------------
continuous        global-pruned            drop=0e+00      95.7222    1653.865    1831.837            90
continuous        global-pruned            drop=1e-04      16.3928    1373.664    1424.962            90
continuous        global-pruned            drop=1e-03       9.0549    1361.994    1401.494            92
continuous        global-pruned            drop=3e-03       6.2830    1360.699    1412.938            94
continuous        global-pruned            drop=1e-02       3.8930    1363.488    1397.256           100
continuous        global-pruned            drop=2e-02       2.8038    1353.462    1390.869           111
continuous        global-pruned            drop=3e-02       2.2598    1352.741    1401.154           118
continuous        global-pruned            drop=5e-02       1.6492    1352.868    1415.858           206
continuous        global-pruned            drop=1e-01       0.9962    1351.686    1577.822           633

channel           global-pruned            drop=0e+00      97.8420    2123.433    8785.905          3227
channel           global-pruned            drop=1e-04       8.4467    1845.713    3325.743          3226
channel           global-pruned            drop=1e-03       5.6410    1845.055    3279.024          3481
channel           global-pruned            drop=3e-03       4.4629    1841.783    3244.422          3486
channel           global-pruned            drop=1e-02       3.1815    1843.615    3060.272          3488
channel           global-pruned            drop=2e-02       2.4593    1840.641    3014.789          3504
channel           global-pruned            drop=3e-02       2.0604    1839.448    3923.241          6391
channel           global-pruned            drop=5e-02       1.5799    1839.113    7821.292         18888
channel           global-pruned            drop=1e-01       0.9935    1837.831   17816.970  failed@40000

checker           global-pruned            drop=0e+00      96.9969    1843.670    2398.005           228
checker           global-pruned            drop=1e-04       7.7556    1552.322    1656.612           231
checker           global-pruned            drop=1e-03       5.4953    1548.271    1652.009           234
checker           global-pruned            drop=3e-03       4.4253    1544.099    1626.918           235
checker           global-pruned            drop=1e-02       3.1966    1539.730    1825.328           815
checker           global-pruned            drop=2e-02       2.4822    1539.163    2578.897          3044
checker           global-pruned            drop=3e-02       2.0837    1541.095    3693.950          6648
checker           global-pruned            drop=5e-02       1.6022    1539.598    7762.890         19649
checker           global-pruned            drop=1e-01       1.0059    1539.083   17624.837  failed@40000

