Experiment 4 - Adaptive nonlocal supports across shared fields
==============================================================

Dataset           : models/test_fields.tgi
Fine grid         : h = 1/128
Coarse grid       : H = 1/16
H/h               : 8
Base patch layers : 2
Local tolerance   : 1.0e-03
Fields            : 3

Note: Strong supports use AP residuals and coefficient-weighted graph paths. Only K=32, 64, and 128 residual-driven expansions are kept.

Support quality, sparsity, convergence, and timing
--------------------------------------------------
Field                             Method   Energy error    Expanded   Extra nodes       P nnz      Ac nnz       L nnz        Cycles   Final residual    Total ms
--------------------  ------------------  -------------  ----------  ------------  ----------  ----------  ----------  ------------  ---------------  ----------
random_continuous          P_E,inf exact      0.000e+00           0             0     3453183       50625       25425           103        9.059e-07    1844.990
random_continuous              P_E,2 tol      4.200e-02           0             0      221089       12741       12548           102        9.804e-07      65.112
random_continuous            strong K=32      4.193e-02          63          1190      222243       12863       12316           102        9.801e-07     101.428
random_continuous            strong K=64      4.192e-02          63          1380      222428       12871       12316           102        9.804e-07      97.598
random_continuous           strong K=128      4.192e-02          63          1380      222428       12871       12316           102        9.804e-07      92.109

channelized_binary         P_E,inf exact      0.000e+00           0             0     2851590       50625       25425          1004        9.974e-07    3655.138
channelized_binary             P_E,2 tol      6.382e-02           0             0      220848       12741       12548          3121        9.976e-07    1279.351
channelized_binary           strong K=32      4.328e-02         225          7200      228054       13807       12938          1696        9.973e-07     716.911
channelized_binary           strong K=64      3.634e-02         225         14384      235172       14697       13371          1041        9.923e-07     472.665
channelized_binary          strong K=128      3.085e-02         225         28643      249229       16001       14003          1022        9.934e-07     484.970

coarse_checkerboard        P_E,inf exact      0.000e+00           0             0     2567844       50625       25425           158        9.443e-07    2014.205
coarse_checkerboard            P_E,2 tol      4.619e-02           0             0      220680       12729       12538          3020        9.990e-07    1241.197
coarse_checkerboard          strong K=32      3.356e-02         225          7200      227887       13581       13075          1441        9.955e-07     676.782
coarse_checkerboard          strong K=64      2.737e-02         225         14384      234991       14167       13531           843        9.904e-07     415.941
coarse_checkerboard         strong K=128      1.976e-02         225         28643      248984       15083       14198           443        9.994e-07     254.243

