kind,m,row,col,value
A,-2,0,0,10240000
A,-2,0,1,-2560000
A,-2,0,15,-2560000
A,-2,1,0,-2560000
A,-2,1,1,10240000
A,-2,1,2,-2560000
A,-2,1,16,-2560000
A,-2,2,1,-2560000
A,-2,2,2,10240000
A,-2,2,3,-2560000
A,-2,2,17,-2560000
A,-2,3,2,-2560000
A,-2,3,3,10240000
A,-2,3,4,-2560000
A,-2,3,18,-2560000
A,-2,4,3,-2560000
A,-2,4,4,10240000
A,-2,4,5,-2560000
A,-2,4,19,-2560000
A,-2,5,4,-2560000
A,-2,5,5,10240000
A,-2,5,6,-2560000
A,-2,5,20,-2560000
A,-2,6,5,-2560000
A,-2,6,6,10240000
A,-2,6,7,-2560000
A,-2,6,21,-2560000
A,-2,7,6,-2560000
A,-2,7,7,10240000
A,-2,7,8,-2560000
A,-2,7,22,-2560000
A,-2,8,7,-2560000
A,-2,8,8,10240000
A,-2,8,9,-2560000
A,-2,8,23,-2560000
A,-2,9,8,-2560000
A,-2,9,9,10240000
A,-2,9,10,-2560000
A,-2,9,24,-2560000
A,-2,10,9,-2560000
A,-2,10,10,10240000
A,-2,10,11,-2560000
A,-2,10,25,-2560000
A,-2,11,10,-2560000
A,-2,11,11,7680511.9488051198
A,-2,11,12,-511.94880511948804
A,-2,11,26,-2560000
A,-2,12,11,-511.94880511948804
A,-2,12,12,1279.948805119488
A,-2,12,13,-256
A,-2,12,27,-256
A,-2,13,12,-256
A,-2,13,13,1024
A,-2,13,14,-256
A,-2,13,28,-256
A,-2,14,13,-256
A,-2,14,14,1024
A,-2,14,29,-256
A,-2,15,0,-2560000
A,-2,15,15,10240000
A,-2,15,16,-2560000
A,-2,15,30,-2560000
A,-2,16,1,-2560000
A,-2,16,15,-2560000
A,-2,16,16,10240000
A,-2,16,17,-2560000
A,-2,16,31,-2560000
A,-2,17,2,-2560000
A,-2,17,16,-2560000
A,-2,17,17,10240000
A,-2,17,18,-2560000
A,-2,17,32,-2560000
A,-2,18,3,-2560000
A,-2,18,17,-2560000
A,-2,18,18,10240000
A,-2,18,19,-2560000
A,-2,18,33,-2560000
A,-2,19,4,-2560000
A,-2,19,18,-2560000
A,-2,19,19,10240000
A,-2,19,20,-2560000
A,-2,19,34,-2560000
A,-2,20,5,-2560000
A,-2,20,19,-2560000
A,-2,20,20,10240000
A,-2,20,21,-2560000
A,-2,20,35,-2560000
A,-2,21,6,-2560000
A,-2,21,20,-2560000
A,-2,21,21,10240000
A,-2,21,22,-2560000
A,-2,21,36,-2560000
A,-2,22,7,-2560000
A,-2,22,21,-2560000
A,-2,22,22,10240000
A,-2,22,23,-2560000
A,-2,22,37,-2560000
A,-2,23,8,-2560000
A,-2,23,22,-2560000
A,-2,23,23,10240000
A,-2,23,24,-2560000
A,-2,23,38,-2560000
A,-2,24,9,-2560000
A,-2,24,23,-2560000
A,-2,24,24,10240000
A,-2,24,25,-2560000
A,-2,24,39,-2560000
A,-2,25,10,-2560000
A,-2,25,24,-2560000
A,-2,25,25,10240000
A,-2,25,26,-2560000
A,-2,25,40,-2560000
A,-2,26,11,-2560000
A,-2,26,25,-2560000
A,-2,26,26,7680511.9488051198
A,-2,26,27,-511.94880511948804
A,-2,26,41,-2560000
A,-2,27,12,-256
A,-2,27,26,-511.94880511948804
A,-2,27,27,1279.948805119488
A,-2,27,28,-256
A,-2,27,42,-256
A,-2,28,13,-256
A,-2,28,27,-256
A,-2,28,28,1024
A,-2,28,29,-256
A,-2,28,43,-256
A,-2,29,14,-256
A,-2,29,28,-256
A,-2,29,29,1024
A,-2,29,44,-256
A,-2,30,15,-2560000
A,-2,30,30,10240000
A,-2,30,31,-2560000
A,-2,30,45,-2560000
A,-2,31,16,-2560000
A,-2,31,30,-2560000
A,-2,31,31,10240000
A,-2,31,32,-2560000
A,-2,31,46,-2560000
A,-2,32,17,-2560000
A,-2,32,31,-2560000
A,-2,32,32,10240000
A,-2,32,33,-2560000
A,-2,32,47,-2560000
A,-2,33,18,-2560000
A,-2,33,32,-2560000
A,-2,33,33,10240000
A,-2,33,34,-2560000
A,-2,33,48,-2560000
A,-2,34,19,-2560000
A,-2,34,33,-2560000
A,-2,34,34,10240000
A,-2,34,35,-2560000
A,-2,34,49,-2560000
A,-2,35,20,-2560000
A,-2,35,34,-2560000
A,-2,35,35,10240000
A,-2,35,36,-2560000
A,-2,35,50,-2560000
A,-2,36,21,-2560000
A,-2,36,35,-2560000
A,-2,36,36,10240000
A,-2,36,37,-2560000
A,-2,36,51,-2560000
A,-2,37,22,-2560000
A,-2,37,36,-2560000
A,-2,37,37,10240000
A,-2,37,38,-2560000
A,-2,37,52,-2560000
A,-2,38,23,-2560000
A,-2,38,37,-2560000
A,-2,38,38,10240000
A,-2,38,39,-2560000
A,-2,38,53,-2560000
A,-2,39,24,-2560000
A,-2,39,38,-2560000
A,-2,39,39,10240000
A,-2,39,40,-2560000
A,-2,39,54,-2560000
A,-2,40,25,-2560000
A,-2,40,39,-2560000
A,-2,40,40,10240000
A,-2,40,41,-2560000
A,-2,40,55,-2560000
A,-2,41,26,-2560000
A,-2,41,40,-2560000
A,-2,41,41,7680511.9488051198
A,-2,41,42,-511.94880511948804
A,-2,41,56,-2560000
A,-2,42,27,-256
A,-2,42,41,-511.94880511948804
A,-2,42,42,1535.8976102389761
A,-2,42,43,-256
A,-2,42,57,-511.94880511948804
A,-2,43,28,-256
A,-2,43,42,-256
A,-2,43,43,1279.948805119488
A,-2,43,44,-256
A,-2,43,58,-511.94880511948804
A,-2,44,29,-256
A,-2,44,43,-256
A,-2,44,44,1279.948805119488
A,-2,44,59,-511.94880511948804
A,-2,45,30,-2560000
A,-2,45,45,10240000
A,-2,45,46,-2560000
A,-2,45,60,-2560000
A,-2,46,31,-2560000
A,-2,46,45,-2560000
A,-2,46,46,10240000
A,-2,46,47,-2560000
A,-2,46,61,-2560000
A,-2,47,32,-2560000
A,-2,47,46,-2560000
A,-2,47,47,10240000
A,-2,47,48,-2560000
A,-2,47,62,-2560000
A,-2,48,33,-2560000
A,-2,48,47,-2560000
A,-2,48,48,10240000
A,-2,48,49,-2560000
A,-2,48,63,-2560000
A,-2,49,34,-2560000
A,-2,49,48,-2560000
A,-2,49,49,10240000
A,-2,49,50,-2560000
A,-2,49,64,-2560000
A,-2,50,35,-2560000
A,-2,50,49,-2560000
A,-2,50,50,10240000
A,-2,50,51,-2560000
A,-2,50,65,-2560000
A,-2,51,36,-2560000
A,-2,51,50,-2560000
A,-2,51,51,10240000
A,-2,51,52,-2560000
A,-2,51,66,-2560000
A,-2,52,37,-2560000
A,-2,52,51,-2560000
A,-2,52,52,10240000
A,-2,52,53,-2560000
A,-2,52,67,-2560000
A,-2,53,38,-2560000
A,-2,53,52,-2560000
A,-2,53,53,10240000
A,-2,53,54,-2560000
A,-2,53,68,-2560000
A,-2,54,39,-2560000
A,-2,54,53,-2560000
A,-2,54,54,10240000
A,-2,54,55,-2560000
A,-2,54,69,-2560000
A,-2,55,40,-2560000
A,-2,55,54,-2560000
A,-2,55,55,10240000
A,-2,55,56,-2560000
A,-2,55,70,-2560000
A,-2,56,41,-2560000
A,-2,56,55,-2560000
A,-2,56,56,10240000
A,-2,56,57,-2560000
A,-2,56,71,-2560000
A,-2,57,42,-511.94880511948804
A,-2,57,56,-2560000
A,-2,57,57,7680511.9488051198
A,-2,57,58,-2560000
A,-2,57,72,-2560000
A,-2,58,43,-511.94880511948804
A,-2,58,57,-2560000
A,-2,58,58,7680511.9488051198
A,-2,58,59,-2560000
A,-2,58,73,-2560000
A,-2,59,44,-511.94880511948804
A,-2,59,58,-2560000
A,-2,59,59,7680511.9488051198
A,-2,59,74,-2560000
A,-2,60,45,-2560000
A,-2,60,60,10240000
A,-2,60,61,-2560000
A,-2,60,75,-2560000
A,-2,61,46,-2560000
A,-2,61,60,-2560000
A,-2,61,61,10240000
A,-2,61,62,-2560000
A,-2,61,76,-2560000
A,-2,62,47,-2560000
A,-2,62,61,-2560000
A,-2,62,62,10240000
A,-2,62,63,-2560000
A,-2,62,77,-2560000
A,-2,63,48,-2560000
A,-2,63,62,-2560000
A,-2,63,63,7680511.9488051198
A,-2,63,64,-2560000
A,-2,63,78,-511.94880511948804
A,-2,64,49,-2560000
A,-2,64,63,-2560000
A,-2,64,64,7680511.9488051198
A,-2,64,65,-2560000
A,-2,64,79,-511.94880511948804
A,-2,65,50,-2560000
A,-2,65,64,-2560000
A,-2,65,65,7680511.9488051198
A,-2,65,66,-2560000
A,-2,65,80,-511.94880511948804
A,-2,66,51,-2560000
A,-2,66,65,-2560000
A,-2,66,66,7680511.9488051198
A,-2,66,67,-2560000
A,-2,66,81,-511.94880511948804
A,-2,67,52,-2560000
A,-2,67,66,-2560000
A,-2,67,67,7680511.9488051198
A,-2,67,68,-2560000
A,-2,67,82,-511.94880511948804
A,-2,68,53,-2560000
A,-2,68,67,-2560000
A,-2,68,68,7680511.9488051198
A,-2,68,69,-2560000
A,-2,68,83,-511.94880511948804
A,-2,69,54,-2560000
A,-2,69,68,-2560000
A,-2,69,69,7680511.9488051198
A,-2,69,70,-2560000
A,-2,69,84,-511.94880511948804
A,-2,70,55,-2560000
A,-2,70,69,-2560000
A,-2,70,70,10240000
A,-2,70,71,-2560000
A,-2,70,85,-2560000
A,-2,71,56,-2560000
A,-2,71,70,-2560000
A,-2,71,71,10240000
A,-2,71,72,-2560000
A,-2,71,86,-2560000
A,-2,72,57,-2560000
A,-2,72,71,-2560000
A,-2,72,72,10240000
A,-2,72,73,-2560000
A,-2,72,87,-2560000
A,-2,73,58,-2560000
A,-2,73,72,-2560000
A,-2,73,73,10240000
A,-2,73,74,-2560000
A,-2,73,88,-2560000
A,-2,74,59,-2560000
A,-2,74,73,-2560000
A,-2,74,74,10240000
A,-2,74,89,-2560000
A,-2,75,60,-2560000
A,-2,75,75,10240000
A,-2,75,76,-2560000
A,-2,75,90,-2560000
A,-2,76,61,-2560000
A,-2,76,75,-2560000
A,-2,76,76,10240000
A,-2,76,77,-2560000
A,-2,76,91,-2560000
A,-2,77,62,-2560000
A,-2,77,76,-2560000
A,-2,77,77,7680511.9488051198
A,-2,77,78,-511.94880511948804
