m,rho_TG,f,theta_max_rad,Z_spectral_norm,local_gap_condition,actual_delta_f,first_order_prediction,sign_match,relative_remainder,D_frobenius_norm
0,0.617800465989931,0.7860028409553803,1.5501572197017977,48.444828574391686,no,-0.0019228018350274656,0.008206958031588305,no,1.2342892247805661,32.81354934709701
1,0.6147815077469703,0.7840800391203528,1.5427637432383845,35.66342867924482,no,-0.0009647188122449135,0.010090001942374641,no,1.0956113604094977,24.458461749657715
2,0.6132696049012707,0.7831153203081079,1.5323036756490958,25.96615267392416,no,0.00011688952992428003,0.007522804178875208,yes,0.9844619736012115,16.014553921202
3,0.6134526945277703,0.7832322098380322,1.52192531730041,20.445735792119248,no,0.0013577080570662536,0.007638174886031345,yes,0.8222470580571253,13.000437696221635
4,0.6155813392626389,0.7845899178950985,1.5075217477805096,15.783038018767646,no,0.0021648104640258348,0.0074312469818839525,yes,0.7086881287483441,11.344570360543457
5,0.6189830025954429,0.7867547283591243,1.4799343959542008,10.975405336739538,no,0.0013461261688439974,0.004567775523161555,yes,0.7052994040494606,7.977253168874187
6,0.6211029569077138,0.7881008545279683,1.4389372255110375,7.5398486250306895,no,0.0003317259417170426,0.0021624375246560327,yes,0.8465962887090537,5.362597060393481
7,0.6216259339460869,0.7884325804696853,1.384344482230932,5.301020000652846,no,-0.0005099233122106694,0.0008849651493382663,no,1.5762072241963032,3.761540564085187
8,0.6208221136620946,0.7879226571574747,1.3092431539938352,3.735729735691813,no,-0.0007559815881420517,9.360931876011964e-05,no,1.1238248658809005,2.769577010737875
9,0.6196313751268765,0.7871666755693326,1.191297859450695,2.507325807682712,no,0.0004088555994364862,-8.340370709366375e-05,no,1.2039930655434745,1.8764502349116619
10,0.6202752172957695,0.7875755311687691,1.0294752024651574,1.663265641154533,no,0.0008079013235393617,-0.0001497810420085583,no,1.1853952180105085,1.1426413533644146
11,0.6215484366283565,0.7883834324923085,0.8796513837631662,1.2088057411767783,no,0.000945765663211362,-0.00023078097763807099,no,1.244014967570773,0.8533166782067281
12,0.6230405830608364,0.7893291981555198,0.7081305777318986,0.8562833442296072,no,0.00048740825516258024,-0.00020121562652023798,no,1.4128276950359002,0.645612475961688
13,0.623810271762089,0.7898166064106824,0.5124449195354439,0.562573009147678,no,-6.543222431276696e-05,-0.00012965961965526347,yes,0.4953538774312549,0.4341359190800749
14,0.6237069171287515,0.7897511741863696,0.3436554597980193,0.35785508819430834,no,-0.00014035354314734239,-6.552983056767254e-05,yes,0.5331088257680843,0.27634561074947417
