Robustness sweep over seeds, channel topology, contrast and H/h
===============================================================

Version         : 3.7.0
Cases           : 18
Mode            : full
Solve tolerance : 1e-6
Maximum cycles  : 12000

Note: The full matrix contains 18 coefficient problems: three grids, three contrasts, two seeds, and six channel topologies assigned in balanced rotation. Each problem compares the geometric basis, fixed m=40 PCG, and the midpoint adaptive selector without case-specific tuning.

Robustness matrix
-----------------
1/h      1/H    H/h    Contrast    Seed              Topology          Method   Parameter  P density %  selector estimate        Cycles    Setup ms    Total ms
-----  -----  -----  ----------  ------  --------------------  --------------  ----------  -----------  ----------  ------------  ----------  ----------
32         8      4       1e+02       1         cross-channel       geometric         P_G       5.0989           -            38       0.372       1.196
32         8      4       1e+02       1         cross-channel       PCG-fixed        m=40      94.5380           -            51       5.993      10.170
32         8      4       1e+02       1         cross-channel    PCG-adaptive         m=0       5.0989          38            38       0.654       1.486
32         8      4       1e+02      17    meandering-channel       geometric         P_G       5.0989           -           161       0.170       3.847
32         8      4       1e+02      17    meandering-channel       PCG-fixed        m=40      94.5380           -           108       6.214      15.435
32         8      4       1e+02      17    meandering-channel    PCG-adaptive        m=12      44.2757          45            46       5.068      11.202
32         8      4       1e+04       1     diagonal-channels       geometric         P_G       5.0989           -            86       0.114       2.291
32         8      4       1e+04       1     diagonal-channels       PCG-fixed        m=40      94.5380           -           179       6.180      13.881
32         8      4       1e+04       1     diagonal-channels    PCG-adaptive         m=0       5.0989          83            86      12.796      14.605
32         8      4       1e+04      17     parallel-channels       geometric         P_G       5.0989           -            86       0.087       1.914
32         8      4       1e+04      17     parallel-channels       PCG-fixed        m=40      94.5380           -            52       5.048       7.169
32         8      4       1e+04      17     parallel-channels    PCG-adaptive        m=12      44.2757          54            54      11.281      13.398
32         8      4       1e+06       1    branching-channels       geometric         P_G       5.0989           -           113       0.085       2.489
32         8      4       1e+06       1    branching-channels       PCG-fixed        m=40      94.5380           -            78       5.039       8.084
32         8      4       1e+06       1    branching-channels    PCG-adaptive        m=12      44.2757          53            53      11.145      13.231
32         8      4       1e+06      17          winding-ring       geometric         P_G       5.0989           -  failed@12000       0.106     278.521
32         8      4       1e+06      17          winding-ring       PCG-fixed        m=40      94.5380           -            78       5.090       8.405
32         8      4       1e+06      17          winding-ring    PCG-adaptive        m=24      81.2695          59            59      13.267      16.838

64         8      8       1e+02       1         cross-channel       geometric         P_G       5.6689           -           248       0.359      25.058
64         8      8       1e+02       1         cross-channel       PCG-fixed        m=40      75.5390           -           195      23.419      57.332
64         8      8       1e+02       1         cross-channel    PCG-adaptive        m=12      24.6651         137           153      52.085      67.651
64         8      8       1e+02      17    meandering-channel       geometric         P_G       5.6689           -           639       0.251      66.245
64         8      8       1e+02      17    meandering-channel       PCG-fixed        m=40      75.5390           -           189      22.228      51.629
64         8      8       1e+02      17    meandering-channel    PCG-adaptive        m=34      65.7776         128           169      47.628      72.471
64         8      8       1e+04       1     diagonal-channels       geometric         P_G       5.6689           -           434       0.246      43.012
64         8      8       1e+04       1     diagonal-channels       PCG-fixed        m=40      75.5390           -           411      24.019     157.558
64         8      8       1e+04       1     diagonal-channels    PCG-adaptive        m=12      24.6651         163           272      45.944     117.123
64         8      8       1e+04      17     parallel-channels       geometric         P_G       5.6689           -           334       0.220      32.134
64         8      8       1e+04      17     parallel-channels       PCG-fixed        m=40      75.5390           -           188      20.290      45.917
64         8      8       1e+04      17     parallel-channels    PCG-adaptive        m=12      24.6651         118           157      43.891      60.166
64         8      8       1e+06       1    branching-channels       geometric         P_G       5.6689           -           517       0.299      50.515
64         8      8       1e+06       1    branching-channels       PCG-fixed        m=40      75.5390           -           262      23.245      62.696
64         8      8       1e+06       1    branching-channels    PCG-adaptive        m=34      65.7776         178           274      66.724     113.086
64         8      8       1e+06      17          winding-ring       geometric         P_G       5.6689           -  failed@12000       0.239    1149.923
64         8      8       1e+06      17          winding-ring       PCG-fixed        m=40      75.5390           -           217      19.371      49.327
64         8      8       1e+06      17          winding-ring    PCG-adaptive        m=34      65.7776         161           195      47.326      74.412
64        16      4       1e+02       1         cross-channel       geometric         P_G       1.2346           -           313       0.468      33.586
64        16      4       1e+02       1         cross-channel       PCG-fixed        m=40      58.3662           -           112      94.421     135.141
64        16      4       1e+02       1         cross-channel    PCG-adaptive        m=12      13.1223          51            54     133.767     141.974
64        16      4       1e+02      17    meandering-channel       geometric         P_G       1.2346           -           348       1.136      39.820
64        16      4       1e+02      17    meandering-channel       PCG-fixed        m=40      58.3662           -            48     108.687     131.102
64        16      4       1e+02      17    meandering-channel    PCG-adaptive        m=12      13.1223          46            48      37.471      45.826
64        16      4       1e+04       1     diagonal-channels       geometric         P_G       1.2346           -  failed@12000       0.452    1271.753
64        16      4       1e+04       1     diagonal-channels       PCG-fixed        m=40      58.3662           -            51      84.146     101.042
64        16      4       1e+04       1     diagonal-channels    PCG-adaptive        m=24      31.5204          52            55     124.910     139.349
64        16      4       1e+04      17     parallel-channels       geometric         P_G       1.2346           -  failed@12000       0.394    1257.030
64        16      4       1e+04      17     parallel-channels       PCG-fixed        m=40      58.3662           -            51      92.783     113.605
64        16      4       1e+04      17     parallel-channels    PCG-adaptive        m=24      31.5204          52            55     136.345     149.779
64        16      4       1e+06       1    branching-channels       geometric         P_G       1.2346           -  failed@12000       0.349    1232.621
64        16      4       1e+06       1    branching-channels       PCG-fixed        m=40      58.3662           -            67      91.948     117.913
64        16      4       1e+06       1    branching-channels    PCG-adaptive        m=24      31.5204          64            66     113.366     129.592
64        16      4       1e+06      17          winding-ring       geometric         P_G       1.2346           -  failed@12000       0.355    1231.542
64        16      4       1e+06      17          winding-ring       PCG-fixed        m=40      58.3662           -            94      89.391     123.286
64        16      4       1e+06      17          winding-ring    PCG-adaptive        m=24      31.5204          60            66     126.633     145.889


