Global-target iterative construction: Jacobi and PCG
====================================================

Version               : 2.10.0
Fine grid             : h=1/128
Coarse grid           : H=1/16
Contrast              : 1e+04
Smoother              : one forward + one backward Gauss-Seidel
Solve tolerance       : 1e-6
Timing                : one end-to-end run per candidate
Initial interpolation : P_G; no pruning or row cap

Note: Jacobi-global and PCG-global use the same geometric initial basis and target the global F-point equation AP=0. The step budgets are 4, 8, 16, 32 and 64; no magnitude pruning is applied. The exact global-energy basis (PCG tolerance 1e-10) is included as the limit for comparison.

Global-target fixed-step construction
-------------------------------------
Field                    Method             Parameter  P density %    Setup ms    Total ms        Cycles
-----------  ------------------  --------------------  -----------  ----------  ----------  ------------
continuous            geometric                   P_G       1.3950       1.916      29.833            87
continuous        Jacobi-global                   m=4       2.8455      16.190      38.315            69
continuous        Jacobi-global                   m=8       4.7096      35.791      58.920            65
continuous        Jacobi-global                  m=16       9.1300     120.120     169.291            63
continuous        Jacobi-global                  m=32      20.4547     429.260     479.934            64
continuous        Jacobi-global                  m=64      48.1166    1973.266    2070.809            67
continuous           PCG-global                   m=4       2.8455      45.993      65.914            61
continuous           PCG-global                   m=8       4.7096      72.634     108.292            66
continuous           PCG-global                  m=16       9.1300     139.589     189.243           103
continuous           PCG-global                  m=32      20.4547     274.264     335.394            86
continuous           PCG-global                  m=64      48.1166     637.909     768.592            86
continuous         global-exact             tol=1e-10      95.7222    1648.725    1855.459            86

channel               geometric                   P_G       1.3950       1.954    6784.469         16142
channel           Jacobi-global                   m=4       2.8455      17.197    4629.088         11604
channel           Jacobi-global                   m=8       4.7096      32.019    3624.501          9092
channel           Jacobi-global                  m=16       9.1300     109.241    4168.438          7471
channel           Jacobi-global                  m=32      20.4547     360.327    4537.855          5176
channel           Jacobi-global                  m=64      48.1166    1786.436    4702.974          1885
channel              PCG-global                   m=4       2.8455      49.565    1939.103          5341
channel              PCG-global                   m=8       4.7096      83.828    1697.014          3734
channel              PCG-global                  m=16       9.1300     150.085     696.926          1125
channel              PCG-global                  m=32      20.4547     268.758     412.039           210
channel              PCG-global                  m=64      48.1166     551.607     954.107           299
channel            global-exact             tol=1e-10      97.8420    2284.719    8730.914          2416

checker               geometric                   P_G       1.3950       1.241    5321.773         16392
checker           Jacobi-global                   m=4       2.8455      14.141    4512.721         11949
checker           Jacobi-global                   m=8       4.7096      35.979    4242.885          9402
checker           Jacobi-global                  m=16       9.1300     106.586    3826.757          7349
checker           Jacobi-global                  m=32      20.4547     357.379    4492.106          5095
checker           Jacobi-global                  m=64      48.1166    1701.946    3532.932          1227
checker              PCG-global                   m=4       2.8455      50.434    1812.500          4556
checker              PCG-global                   m=8       4.7096      88.622    1711.251          3184
checker              PCG-global                  m=16       9.1300     154.732     629.204           962
checker              PCG-global                  m=32      20.4547     305.067     456.419           211
checker              PCG-global                  m=64      48.1166     680.593     984.625           217
checker            global-exact             tol=1e-10      96.9969    1831.299    2419.839           217
