Field,Method,Rho,Mean cycles,Max cycles,Failed,P nnz,Build ms,Setup ms,6 solves ms,Total ms
random_continuous,P_G,8.687e-01,83.5,96,0,50625,5.020,1.963,236.503,243.485
random_continuous,"P_E,2 tol",8.864e-01,90.8,106,0,221089,76.588,6.149,298.146,380.882
random_continuous,"P_E,3 tol",8.868e-01,88.8,107,0,452995,131.945,23.134,412.677,567.756
random_continuous,fixed K=64,8.864e-01,91.0,107,0,222469,131.905,6.162,313.236,451.303
random_continuous,K128-prune64,8.864e-01,91.0,107,0,222376,156.030,5.675,302.197,463.901
random_continuous,budget-row,8.864e-01,90.2,107,0,225035,293.223,6.011,314.766,614.000
random_continuous,"P_E,inf ref",8.869e-01,88.5,107,0,3453183,2509.399,574.054,2015.617,5099.070
channelized_binary,P_G,9.688e-01,4000.0,4000,6,50625,0.518,2.266,10002.155,10004.939
channelized_binary,"P_E,2 tol",9.573e-01,3195.7,4000,2,220848,50.570,6.276,10583.824,10640.670
channelized_binary,"P_E,3 tol",9.512e-01,1920.3,2105,0,451459,105.839,13.211,8896.260,9015.309
channelized_binary,fixed K=64,9.592e-01,1116.5,1334,0,235462,136.396,7.186,3923.085,4066.666
channelized_binary,K128-prune64,9.612e-01,1052.0,1167,0,235473,215.243,5.984,3633.977,3855.205
channelized_binary,budget-row,9.570e-01,2960.2,4000,2,224747,199.940,5.989,9863.591,10069.520
channelized_binary,"P_E,inf ref",9.528e-01,657.2,1069,0,2851590,3125.803,328.750,12776.133,16230.687
coarse_checkerboard,P_G,9.715e-01,4000.0,4000,6,50625,0.990,3.498,10090.490,10094.978
coarse_checkerboard,"P_E,2 tol",9.299e-01,3075.0,4000,2,220680,70.872,5.814,10181.382,10258.068
coarse_checkerboard,"P_E,3 tol",9.167e-01,198.5,249,0,450099,98.024,16.940,943.718,1058.683
coarse_checkerboard,fixed K=64,9.371e-01,987.5,1344,0,235468,147.644,6.522,3428.307,3582.473
coarse_checkerboard,K128-prune64,9.420e-01,823.0,1109,0,235473,235.825,6.031,2782.253,3024.110
coarse_checkerboard,budget-row,9.357e-01,2707.0,3958,0,225818,291.777,5.878,9218.363,9516.018
coarse_checkerboard,"P_E,inf ref",9.147e-01,144.2,183,0,2567844,2611.867,310.416,2537.160,5459.444
