Channel dense PCG-step scan and coarse-solve cross-check
========================================================

Version         : 2.9.0
Fine grid       : h=1/128
Coarse grid     : H=1/16
Contrast        : 1e+04
Smoother        : one forward + one backward Gauss-Seidel
Solve tolerance : 1e-6
Timing          : one end-to-end run per candidate
PCG scan        : m=16,18,...,64

Note: Every row passed an independent long-double dense-Cholesky cross-check of the Galerkin coarse solve. Validation work is excluded from Setup ms and Total ms, and the production sparse coarse solver is unchanged.

Channel finite-step PCG scan
----------------------------
Field                    Method             Parameter  P density %    Setup ms    Total ms        Cycles
-----------  ------------------  --------------------  -----------  ----------  ----------  ------------
channel              PCG-global                  m=16       9.1300     204.579    1230.413          1125
channel              PCG-global                  m=18      10.3088     241.255    1321.036          1645
channel              PCG-global                  m=20      11.6236     220.814    1276.274          1045
channel              PCG-global                  m=22      13.0007     290.543     909.926           663
channel              PCG-global                  m=24      14.4398     289.587     739.185           521
channel              PCG-global                  m=26      15.8038     342.962     546.079           311
channel              PCG-global                  m=28      17.3034     315.731     539.167           250
channel              PCG-global                  m=30      18.8537     279.045     462.105           202
channel              PCG-global                  m=32      20.4547     318.679     493.727           210
channel              PCG-global                  m=34      21.9609     312.278     536.408           228
channel              PCG-global                  m=36      23.5999     335.806     531.031           214
channel              PCG-global                  m=38      25.2786     378.152     583.299           214
channel              PCG-global                  m=40      26.9969     383.219     598.273           215
channel              PCG-global                  m=42      28.6040     399.297     638.547           215
channel              PCG-global                  m=44      30.3389     378.087     597.294           216
channel              PCG-global                  m=46      32.1029     415.554     660.470           218
channel              PCG-global                  m=48      33.8960     428.194     649.423           216
channel              PCG-global                  m=50      35.5642     496.910     773.041           217
channel              PCG-global                  m=52      37.3532     476.813     744.105           218
channel              PCG-global                  m=54      39.1612     534.827     826.520           222
channel              PCG-global                  m=56      40.9881     565.310     903.373           233
channel              PCG-global                  m=58      42.6795     584.084     964.269           256
channel              PCG-global                  m=60      44.4826     559.990     997.019           280
channel              PCG-global                  m=62      46.2950     646.216    1145.690           294
channel              PCG-global                  m=64      48.1166     672.917    1142.995           299
channel            global-exact             tol=1e-10      97.8420    2515.068    9003.419          2416

