Field,Method,RHS,Cycles,Converged,Final residual,Solve ms
random_continuous,P_G,manufactured,81,1,9.170e-07,38.226
random_continuous,P_G,spectral-17,83,1,9.898e-07,33.944
random_continuous,P_G,spectral-31,81,1,9.245e-07,35.768
random_continuous,P_G,spectral-47,76,1,9.868e-07,40.064
random_continuous,P_G,point-center,96,1,9.377e-07,54.148
random_continuous,P_G,point-quarter,84,1,9.850e-07,34.109
random_continuous,"P_E,2 tol",manufactured,102,1,9.804e-07,55.920
random_continuous,"P_E,2 tol",spectral-17,106,1,9.970e-07,57.991
random_continuous,"P_E,2 tol",spectral-31,97,1,9.409e-07,53.333
random_continuous,"P_E,2 tol",spectral-47,100,1,9.889e-07,54.502
random_continuous,"P_E,2 tol",point-center,70,1,9.943e-07,38.220
random_continuous,"P_E,2 tol",point-quarter,70,1,9.470e-07,38.069
random_continuous,"P_E,3 tol",manufactured,103,1,9.115e-07,76.813
random_continuous,"P_E,3 tol",spectral-17,107,1,9.379e-07,80.153
random_continuous,"P_E,3 tol",spectral-31,98,1,9.053e-07,73.922
random_continuous,"P_E,3 tol",spectral-47,101,1,9.572e-07,75.266
random_continuous,"P_E,3 tol",point-center,64,1,8.779e-07,50.882
random_continuous,"P_E,3 tol",point-quarter,60,1,9.822e-07,55.513
random_continuous,fixed K=64,manufactured,102,1,9.772e-07,69.252
random_continuous,fixed K=64,spectral-17,107,1,8.945e-07,58.772
random_continuous,fixed K=64,spectral-31,97,1,9.427e-07,53.458
random_continuous,fixed K=64,spectral-47,100,1,9.937e-07,54.023
random_continuous,fixed K=64,point-center,70,1,9.457e-07,38.841
random_continuous,fixed K=64,point-quarter,70,1,9.276e-07,38.639
random_continuous,K128-prune64,manufactured,102,1,9.772e-07,55.441
random_continuous,K128-prune64,spectral-17,107,1,8.945e-07,58.817
random_continuous,K128-prune64,spectral-31,97,1,9.427e-07,56.814
random_continuous,K128-prune64,spectral-47,100,1,9.937e-07,54.660
random_continuous,K128-prune64,point-center,70,1,9.457e-07,38.119
random_continuous,K128-prune64,point-quarter,70,1,9.276e-07,38.214
random_continuous,budget-row,manufactured,102,1,9.373e-07,61.988
random_continuous,budget-row,spectral-17,107,1,8.962e-07,58.674
random_continuous,budget-row,spectral-31,97,1,9.427e-07,53.398
random_continuous,budget-row,spectral-47,101,1,8.975e-07,56.761
random_continuous,budget-row,point-center,68,1,9.237e-07,41.941
random_continuous,budget-row,point-quarter,66,1,9.932e-07,41.886
random_continuous,"P_E,inf ref",manufactured,103,1,9.059e-07,400.926
random_continuous,"P_E,inf ref",spectral-17,107,1,9.463e-07,415.572
random_continuous,"P_E,inf ref",spectral-31,98,1,9.236e-07,366.718
random_continuous,"P_E,inf ref",spectral-47,101,1,9.680e-07,397.159
random_continuous,"P_E,inf ref",point-center,61,1,8.905e-07,225.254
random_continuous,"P_E,inf ref",point-quarter,61,1,9.516e-07,209.814
channelized_binary,P_G,manufactured,4000,0,9.309e-06,1643.905
channelized_binary,P_G,spectral-17,4000,0,2.052e-05,1784.553
channelized_binary,P_G,spectral-31,4000,0,1.328e-05,1635.154
channelized_binary,P_G,spectral-47,4000,0,2.207e-05,1669.301
channelized_binary,P_G,point-center,4000,0,7.379e-02,1641.370
channelized_binary,P_G,point-quarter,4000,0,7.385e-02,1627.721
channelized_binary,"P_E,2 tol",manufactured,3121,1,9.976e-07,1746.282
channelized_binary,"P_E,2 tol",spectral-17,2449,1,9.973e-07,1367.747
channelized_binary,"P_E,2 tol",spectral-31,2656,1,9.987e-07,1436.232
channelized_binary,"P_E,2 tol",spectral-47,2948,1,9.996e-07,1615.383
channelized_binary,"P_E,2 tol",point-center,4000,0,1.229e-05,2233.740
channelized_binary,"P_E,2 tol",point-quarter,4000,0,1.231e-05,2184.304
channelized_binary,"P_E,3 tol",manufactured,2105,1,9.990e-07,1554.933
channelized_binary,"P_E,3 tol",spectral-17,1869,1,9.982e-07,1575.286
channelized_binary,"P_E,3 tol",spectral-31,1384,1,9.957e-07,1073.177
channelized_binary,"P_E,3 tol",spectral-47,2020,1,9.989e-07,1554.816
channelized_binary,"P_E,3 tol",point-center,2073,1,9.970e-07,1555.067
channelized_binary,"P_E,3 tol",point-quarter,2071,1,9.981e-07,1582.791
channelized_binary,fixed K=64,manufactured,1033,1,9.963e-07,572.046
channelized_binary,fixed K=64,spectral-17,1108,1,9.962e-07,647.047
channelized_binary,fixed K=64,spectral-31,862,1,9.972e-07,479.556
channelized_binary,fixed K=64,spectral-47,1028,1,9.953e-07,602.056
channelized_binary,fixed K=64,point-center,1334,1,9.950e-07,806.370
channelized_binary,fixed K=64,point-quarter,1334,1,9.974e-07,815.871
channelized_binary,K128-prune64,manufactured,1026,1,9.982e-07,594.126
channelized_binary,K128-prune64,spectral-17,1107,1,9.928e-07,650.368
channelized_binary,K128-prune64,spectral-31,820,1,9.971e-07,467.079
channelized_binary,K128-prune64,spectral-47,1025,1,9.954e-07,588.358
channelized_binary,K128-prune64,point-center,1167,1,9.935e-07,659.069
channelized_binary,K128-prune64,point-quarter,1167,1,9.932e-07,674.841
channelized_binary,budget-row,manufactured,2707,1,9.985e-07,1545.030
channelized_binary,budget-row,spectral-17,2118,1,9.984e-07,1176.288
channelized_binary,budget-row,spectral-31,2364,1,9.976e-07,1367.244
channelized_binary,budget-row,spectral-47,2572,1,9.988e-07,1405.886
channelized_binary,budget-row,point-center,4000,0,2.985e-06,2196.050
channelized_binary,budget-row,point-quarter,4000,0,2.992e-06,2172.957
channelized_binary,"P_E,inf ref",manufactured,1004,1,9.974e-07,3158.790
channelized_binary,"P_E,inf ref",spectral-17,1069,1,9.921e-07,3484.143
channelized_binary,"P_E,inf ref",spectral-31,821,1,9.974e-07,2828.298
channelized_binary,"P_E,inf ref",spectral-47,856,1,9.955e-07,2708.590
channelized_binary,"P_E,inf ref",point-center,113,1,9.879e-07,349.044
channelized_binary,"P_E,inf ref",point-quarter,80,1,9.268e-07,247.126
coarse_checkerboard,P_G,manufactured,4000,0,1.020e-05,1661.878
coarse_checkerboard,P_G,spectral-17,4000,0,2.151e-05,1664.894
coarse_checkerboard,P_G,spectral-31,4000,0,1.525e-05,1693.102
coarse_checkerboard,P_G,spectral-47,4000,0,1.561e-05,1774.546
coarse_checkerboard,P_G,point-center,4000,0,7.475e-02,1661.250
coarse_checkerboard,P_G,point-quarter,4000,0,7.482e-02,1634.679
coarse_checkerboard,"P_E,2 tol",manufactured,3020,1,9.990e-07,1667.175
coarse_checkerboard,"P_E,2 tol",spectral-17,1879,1,9.983e-07,1039.913
coarse_checkerboard,"P_E,2 tol",spectral-31,2707,1,9.981e-07,1493.914
coarse_checkerboard,"P_E,2 tol",spectral-47,2844,1,9.988e-07,1557.570
coarse_checkerboard,"P_E,2 tol",point-center,4000,0,1.404e-05,2191.536
coarse_checkerboard,"P_E,2 tol",point-quarter,4000,0,1.406e-05,2231.132
coarse_checkerboard,"P_E,3 tol",manufactured,166,1,9.859e-07,134.983
coarse_checkerboard,"P_E,3 tol",spectral-17,183,1,9.711e-07,156.325
coarse_checkerboard,"P_E,3 tol",spectral-31,178,1,9.979e-07,135.438
coarse_checkerboard,"P_E,3 tol",spectral-47,166,1,9.985e-07,126.989
coarse_checkerboard,"P_E,3 tol",point-center,249,1,9.600e-07,189.337
coarse_checkerboard,"P_E,3 tol",point-quarter,249,1,9.642e-07,200.508
coarse_checkerboard,fixed K=64,manufactured,835,1,9.949e-07,494.707
coarse_checkerboard,fixed K=64,spectral-17,739,1,9.965e-07,441.478
coarse_checkerboard,fixed K=64,spectral-31,838,1,9.911e-07,482.915
coarse_checkerboard,fixed K=64,spectral-47,826,1,9.939e-07,488.087
coarse_checkerboard,fixed K=64,point-center,1343,1,9.997e-07,754.357
coarse_checkerboard,fixed K=64,point-quarter,1344,1,9.917e-07,766.584
coarse_checkerboard,K128-prune64,manufactured,691,1,9.921e-07,384.024
coarse_checkerboard,K128-prune64,spectral-17,647,1,9.885e-07,369.378
coarse_checkerboard,K128-prune64,spectral-31,698,1,9.978e-07,387.947
coarse_checkerboard,K128-prune64,spectral-47,685,1,9.895e-07,383.905
coarse_checkerboard,K128-prune64,point-center,1108,1,9.997e-07,627.479
coarse_checkerboard,K128-prune64,point-quarter,1109,1,9.898e-07,629.390
coarse_checkerboard,budget-row,manufactured,2420,1,9.977e-07,1358.703
coarse_checkerboard,budget-row,spectral-17,1419,1,9.967e-07,788.378
coarse_checkerboard,budget-row,spectral-31,2187,1,9.974e-07,1240.754
coarse_checkerboard,budget-row,spectral-47,2300,1,9.966e-07,1332.631
coarse_checkerboard,budget-row,point-center,3958,1,9.971e-07,2261.806
coarse_checkerboard,budget-row,point-quarter,3958,1,9.991e-07,2235.955
coarse_checkerboard,"P_E,inf ref",manufactured,158,1,9.443e-07,455.029
coarse_checkerboard,"P_E,inf ref",spectral-17,183,1,9.595e-07,580.247
coarse_checkerboard,"P_E,inf ref",spectral-31,168,1,9.781e-07,475.349
