Five-right-hand-side workload and setup break-even study
========================================================

Version                      : 3.6.0
Problems                     : 4
Right-hand sides per problem : 5
Solve tolerance              : 1e-6

Note: Each hierarchy is constructed once and reused for five distinct smooth/localized right-hand sides. Break-even is the smallest RHS count at which setup plus mean solve time favors the method over the named baseline; 'never' means the measured per-RHS time is not lower. Timings are single-run wall-clock measurements and should be read as order-of-magnitude evidence, not microbenchmarks.

Amortized workload
------------------
1/h      1/H    Contrast              Topology         Method      m   One-time setup ms   Avg cycles  Max cycles   Avg solve ms  Break-even vs G  Break-even vs m40
-----  -----  ----------  --------------------  -------------  -----  ------------------  -----------  ----------  -------------  ---------------  -----------------
64         8       1e+04    branching-channels      geometric      0              11.763        409.8         427         37.884                0                  0
64         8       1e+04    branching-channels          fixed     40              16.964        366.6         398         50.881            never                  0
64         8       1e+04    branching-channels  adaptive-v3.6     12              58.104        211.6         239         21.038                3                  2
64        16       1e+04          winding-ring      geometric      0               0.543       4000.0      failed        378.852                0                  0
64        16       1e+04          winding-ring          fixed     40              90.789         62.6          66         22.209                1                  0
64        16       1e+04          winding-ring  adaptive-v3.6     26             137.768         63.6          67         18.233                1                 12
64        16       1e+06         cross-channel      geometric      0               0.522       4000.0      failed        384.443                0                  0
64        16       1e+06         cross-channel          fixed     40              68.621        116.0         124         43.075                1                  0
64        16       1e+06         cross-channel  adaptive-v3.6     26             133.320         59.4          60         17.268                1                  3

128       16       1e+04         cross-channel      geometric      0               1.003       4000.0      failed       1128.265                0                  0
128       16       1e+04         cross-channel          fixed     40             312.579        231.4         247        184.007                1                  0
128       16       1e+04         cross-channel  adaptive-v3.6     40             529.255        231.4         247        172.689                1                 20


