m,rho_hat,rho_power,rho_rhs,pred cycles,P density %,path ms,probe ms,score ms,best
0,0.998076,0.961737,0.998076,7173,1.3950,0.000,84.733,37404.751,yes
16,0.991221,0.972002,0.991221,1567,9.1300,426.567,125.524,12553.752,yes
20,0.984627,0.963643,0.984627,892,11.6236,459.306,124.435,7319.716,yes
24,0.966438,0.957437,0.966438,405,14.4398,493.879,155.263,4397.388,yes
28,0.927620,0.920445,0.927620,184,17.3034,529.054,211.214,2978.826,yes
32,0.930691,0.930691,0.929666,193,20.4547,561.692,206.876,3087.572,no
36,0.926178,0.926178,0.924854,181,23.5999,594.053,202.474,2890.591,yes
40,0.924700,0.924700,0.917583,177,26.9969,633.740,256.625,3485.327,no
44,0.922639,0.922639,0.913043,172,30.3389,677.375,253.622,3404.043,no
48,0.924422,0.924422,0.911159,176,33.8960,709.478,293.633,3955.202,no
52,0.924128,0.924128,0.917671,176,37.3532,740.954,339.325,4494.932,no
