Field,Contrast,Method,Samples,Failed,Mean cycles,Std cycles,Worst cycles,Mean extra,Mean total ms
block_random,1e+02,budget-row,3,0,151.3,24.6,186,1125.3,90.587
block_random,1e+02,fixed-K64,3,0,151.0,24.8,186,3114.7,48.830
block_random,1e+02,local-2,3,0,151.3,24.6,186,0.0,32.693
block_random,1e+02,local-3,3,0,151.0,24.8,186,0.0,45.917
block_random,1e+04,budget-row,3,0,178.3,37.5,231,1066.7,86.675
block_random,1e+04,fixed-K64,3,0,177.7,37.9,231,3114.7,50.344
block_random,1e+04,local-2,3,0,178.0,37.7,231,0.0,34.105
block_random,1e+04,local-3,3,0,177.3,38.1,231,0.0,52.131
block_random,1e+06,budget-row,3,0,178.7,37.9,232,917.3,80.823
block_random,1e+06,fixed-K64,3,0,178.0,38.3,232,3114.7,53.408
block_random,1e+06,local-2,3,0,178.7,37.9,232,0.0,36.711
block_random,1e+06,local-3,3,0,177.7,38.5,232,0.0,51.703
channel,1e+02,budget-row,3,0,232.0,60.2,317,992.0,97.896
channel,1e+02,fixed-K64,3,0,223.3,52.8,298,3136.0,63.063
channel,1e+02,local-2,3,0,233.7,60.5,319,0.0,42.464
channel,1e+02,local-3,3,0,218.3,48.6,287,0.0,60.119
channel,1e+04,budget-row,3,0,414.3,200.2,693,992.0,113.116
channel,1e+04,fixed-K64,3,0,390.0,177.7,638,3136.0,81.081
channel,1e+04,local-2,3,0,421.0,202.0,701,0.0,64.745
channel,1e+04,local-3,3,0,381.0,171.6,621,0.0,86.155
channel,1e+06,budget-row,3,0,424.0,204.8,708,976.0,109.744
channel,1e+06,fixed-K64,3,0,395.7,183.6,652,3136.0,79.647
channel,1e+06,local-2,3,0,427.3,208.2,716,0.0,66.736
channel,1e+06,local-3,3,0,387.0,178.1,636,0.0,86.706
continuous,1e+02,budget-row,3,0,95.7,3.3,98,2501.3,133.745
continuous,1e+02,fixed-K64,3,0,95.3,3.8,98,2004.7,39.032
continuous,1e+02,local-2,3,0,95.3,3.8,98,0.0,27.317
continuous,1e+02,local-3,3,0,95.0,3.6,98,0.0,40.282
continuous,1e+04,budget-row,3,0,132.3,26.0,169,981.3,77.020
continuous,1e+04,fixed-K64,3,0,132.3,26.0,169,74.7,32.911
continuous,1e+04,local-2,3,0,132.3,26.0,169,0.0,27.658
continuous,1e+04,local-3,3,0,133.0,27.7,172,0.0,41.530
continuous,1e+06,budget-row,3,0,176.7,33.6,224,421.3,82.444
continuous,1e+06,fixed-K64,3,0,176.7,33.6,224,14.3,37.507
continuous,1e+06,local-2,3,0,176.7,33.6,224,0.0,34.590
continuous,1e+06,local-3,3,0,179.0,36.1,230,0.0,53.267
