Sparse support expansion: global frontier gain allocation
=========================================================

Version          : 3.0.0
Fine grid        : h=1/32
Coarse grid      : H=1/8
Contrast         : 1e+04
Smoother         : one forward + one backward Gauss-Seidel
Solve tolerance  : 1e-6
Timing           : one end-to-end run per candidate
Coefficient seed : 17

Note: Frontier-gain-v3 ranks connected strong-graph frontier nodes across all marked columns, allocates a global round budget, warm-starts only changed columns, and freezes columns after three low-gain rounds.

Solver comparison
-----------------
Field                    Method             Parameter  P density %    Setup ms    Total ms        Cycles
-----------  ------------------  --------------------  -----------  ----------  ----------  ------------
checker              base-local              layers=2      22.6316       9.563      11.818            53
checker      adaptive-budget-v2             R=8,B=128      24.4325      22.050      24.248            52
checker        frontier-gain-v3           R<=10,B=128      24.0311      22.831      25.134            52

cross-channel          base-local              layers=2      22.6316       2.554       6.536           101
cross-channel  adaptive-budget-v2             R=8,B=128      25.5113      26.539      29.698            82
cross-channel    frontier-gain-v3           R<=10,B=128      24.7807      25.153      28.409            82

meandering-channel          base-local              layers=2      22.6316       3.111      21.342           420
meandering-channel  adaptive-budget-v2             R=8,B=128      25.1078      19.862      30.713           287
meandering-channel    frontier-gain-v3           R<=10,B=128      24.3518      27.561      38.213           287

diagonal-channels          base-local              layers=2      22.6316       2.606       4.911            53
diagonal-channels  adaptive-budget-v2             R=8,B=128      25.8617      26.551      33.985            52
diagonal-channels    frontier-gain-v3           R<=10,B=128      25.3860      29.442      31.491            52

Frontier allocation diagnostics
-------------------------------
Field                   Rounds   Expanded cols   Frozen cols   Extra nodes   Final/initial     Build ms
--------------------  --------  --------------  ------------  ------------  --------------  -----------
checker                     10              20             0           659          0.6741       18.730
cross-channel               10              29             0          1012          0.5760       22.799
meandering-channel          10              20             0           810          0.7188       24.482
diagonal-channels           10              30             0          1297          0.5095       26.516

