1/h,1/H,H/h,Contrast,Seed,Topology,Method,Parameter,P density %,selector cycles,Cycles,Setup ms,Total ms
32,8,4,1e+02,1,cross-channel,geometric,P_G,5.0989,-,38,1.493,2.425
32,8,4,1e+02,1,cross-channel,PCG-fixed,m=40,94.5380,-,51,23.840,27.731
32,8,4,1e+02,1,cross-channel,PCG-adaptive,m=0,5.0989,38,38,1.792,2.957
32,8,4,1e+02,17,meandering-channel,geometric,P_G,5.0989,-,161,0.260,5.231
32,8,4,1e+02,17,meandering-channel,PCG-fixed,m=40,94.5380,-,108,14.792,24.147
32,8,4,1e+02,17,meandering-channel,PCG-adaptive,m=12,44.2757,46,46,14.944,17.957
32,8,4,1e+04,1,diagonal-channels,geometric,P_G,5.0989,-,86,0.153,2.782
32,8,4,1e+04,1,diagonal-channels,PCG-fixed,m=40,94.5380,-,179,8.311,19.257
32,8,4,1e+04,1,diagonal-channels,PCG-adaptive,m=0,5.0989,86,86,105.787,108.480
32,8,4,1e+04,17,parallel-channels,geometric,P_G,5.0989,-,86,0.178,2.815
32,8,4,1e+04,17,parallel-channels,PCG-fixed,m=40,94.5380,-,52,11.732,15.871
32,8,4,1e+04,17,parallel-channels,PCG-adaptive,m=20,71.2799,45,45,39.413,42.477
32,8,4,1e+06,1,cross-channel,geometric,P_G,5.0989,-,40,0.154,1.094
32,8,4,1e+06,1,cross-channel,PCG-fixed,m=40,94.5380,-,55,8.702,11.776
32,8,4,1e+06,1,cross-channel,PCG-adaptive,m=0,5.0989,40,40,1.713,2.954
32,8,4,1e+06,17,meandering-channel,geometric,P_G,5.0989,-,258,0.139,7.555
32,8,4,1e+06,17,meandering-channel,PCG-fixed,m=40,94.5380,-,214,10.609,22.009
32,8,4,1e+06,17,meandering-channel,PCG-adaptive,m=20,71.2799,54,54,31.626,36.619
64,8,8,1e+02,1,diagonal-channels,geometric,P_G,5.6689,-,350,0.565,39.509
64,8,8,1e+02,1,diagonal-channels,PCG-fixed,m=40,75.5390,-,378,51.004,126.080
64,8,8,1e+02,1,diagonal-channels,PCG-adaptive,m=12,24.6651,228,228,249.254,277.406
64,8,8,1e+02,17,parallel-channels,geometric,P_G,5.6689,-,265,0.391,34.725
64,8,8,1e+02,17,parallel-channels,PCG-fixed,m=40,75.5390,-,183,36.976,72.011
64,8,8,1e+02,17,parallel-channels,PCG-adaptive,m=12,24.6651,121,121,221.250,235.583
64,8,8,1e+04,1,cross-channel,geometric,P_G,5.6689,-,302,0.632,32.311
64,8,8,1e+04,1,cross-channel,PCG-fixed,m=40,75.5390,-,250,51.498,95.066
64,8,8,1e+04,1,cross-channel,PCG-adaptive,m=34,65.7776,245,245,292.691,330.650
64,8,8,1e+04,17,meandering-channel,geometric,P_G,5.6689,-,1225,0.382,136.468
64,8,8,1e+04,17,meandering-channel,PCG-fixed,m=40,75.5390,-,203,35.680,74.065
64,8,8,1e+04,17,meandering-channel,PCG-adaptive,m=34,65.7776,158,158,268.942,309.443
64,8,8,1e+06,1,diagonal-channels,geometric,P_G,5.6689,-,435,0.402,45.435
64,8,8,1e+06,1,diagonal-channels,PCG-fixed,m=40,75.5390,-,290,40.669,98.961
64,8,8,1e+06,1,diagonal-channels,PCG-adaptive,m=12,24.6651,273,273,254.019,282.608
64,8,8,1e+06,17,parallel-channels,geometric,P_G,5.6689,-,335,0.522,34.908
64,8,8,1e+06,17,parallel-channels,PCG-fixed,m=40,75.5390,-,187,45.916,79.752
64,8,8,1e+06,17,parallel-channels,PCG-adaptive,m=12,24.6651,160,160,217.481,239.034
64,16,4,1e+02,1,cross-channel,geometric,P_G,1.2346,-,313,0.925,37.390
64,16,4,1e+02,1,cross-channel,PCG-fixed,m=40,58.3662,-,112,219.370,287.616
64,16,4,1e+02,1,cross-channel,PCG-adaptive,m=12,13.1223,54,54,254.854,265.781
64,16,4,1e+02,17,meandering-channel,geometric,P_G,1.2346,-,348,0.716,38.655
64,16,4,1e+02,17,meandering-channel,PCG-fixed,m=40,58.3662,-,48,133.168,172.583
64,16,4,1e+02,17,meandering-channel,PCG-adaptive,m=12,13.1223,48,48,73.587,92.703
64,16,4,1e+04,1,diagonal-channels,geometric,P_G,1.2346,-,failed@12000,0.730,1346.409
64,16,4,1e+04,1,diagonal-channels,PCG-fixed,m=40,58.3662,-,51,119.579,144.516
64,16,4,1e+04,1,diagonal-channels,PCG-adaptive,m=28,38.2884,51,51,408.345,426.285
64,16,4,1e+04,17,parallel-channels,geometric,P_G,1.2346,-,failed@12000,0.664,1343.640
64,16,4,1e+04,17,parallel-channels,PCG-fixed,m=40,58.3662,-,51,121.435,155.850
64,16,4,1e+04,17,parallel-channels,PCG-adaptive,m=36,51.8535,51,51,458.157,503.075
64,16,4,1e+06,1,cross-channel,geometric,P_G,1.2346,-,failed@12000,0.585,1354.335
64,16,4,1e+06,1,cross-channel,PCG-fixed,m=40,58.3662,-,123,135.830,200.720
64,16,4,1e+06,1,cross-channel,PCG-adaptive,m=28,38.2884,60,60,479.134,508.174
64,16,4,1e+06,17,meandering-channel,geometric,P_G,1.2346,-,failed@12000,0.928,1395.927
64,16,4,1e+06,17,meandering-channel,PCG-fixed,m=40,58.3662,-,51,135.373,160.942
64,16,4,1e+06,17,meandering-channel,PCG-adaptive,m=36,51.8535,55,55,503.805,546.706
