Robustness sweep over seeds, channel topology, contrast and H/h
===============================================================

Version         : 3.2.0
Cases           : 18
Mode            : full
Solve tolerance : 1e-6
Maximum cycles  : 12000

Note: The full matrix contains 18 coefficient problems: three grids, three contrasts, two seeds, and four channel topologies assigned in balanced rotation. Each problem compares the geometric basis, fixed m=40 PCG, the low-budget v3.2 rule, and the high-quality staged rule without case-specific tuning.

Robustness matrix
-----------------
1/h      1/H    H/h    Contrast    Seed              Topology          Method   Parameter  P density %  selector estimate        Cycles    Setup ms    Total ms
-----  -----  -----  ----------  ------  --------------------  --------------  ----------  -----------  ----------  ------------  ----------  ----------
32         8      4       1e+02       1         cross-channel       geometric         P_G       5.0989           -            38       0.390       1.256
32         8      4       1e+02       1         cross-channel       PCG-fixed        m=40      94.5380           -            51       5.280       7.527
32         8      4       1e+02       1         cross-channel    PCG-adaptive         m=0       5.0989          38            38       0.630       1.409
32         8      4       1e+02       1         cross-channel      PCG-staged         m=0       5.0989          38            38       0.997       1.966
32         8      4       1e+02      17    meandering-channel       geometric         P_G       5.0989           -           161       0.141       3.520
32         8      4       1e+02      17    meandering-channel       PCG-fixed        m=40      94.5380           -           108       5.496      10.346
32         8      4       1e+02      17    meandering-channel    PCG-adaptive        m=12      44.2757          41            46       5.806       7.831
32         8      4       1e+02      17    meandering-channel      PCG-staged        m=12      44.2757          46            46       9.806      11.879
32         8      4       1e+04       1     diagonal-channels       geometric         P_G       5.0989           -            86       0.121       1.930
32         8      4       1e+04       1     diagonal-channels       PCG-fixed        m=40      94.5380           -           179       6.331      17.088
32         8      4       1e+04       1     diagonal-channels    PCG-adaptive         m=0       5.0989          81            86      18.159      19.969
32         8      4       1e+04       1     diagonal-channels      PCG-staged         m=0       5.0989          86            86      75.624      77.768
32         8      4       1e+04      17     parallel-channels       geometric         P_G       5.0989           -            86       4.166       6.315
32         8      4       1e+04      17     parallel-channels       PCG-fixed        m=40      94.5380           -            52       7.162       9.664
32         8      4       1e+04      17     parallel-channels    PCG-adaptive        m=12      44.2757          48            54       7.627      11.162
32         8      4       1e+04      17     parallel-channels      PCG-staged        m=20      71.2799          45            45      18.981      22.801
32         8      4       1e+06       1         cross-channel       geometric         P_G       5.0989           -            40       0.162       1.336
32         8      4       1e+06       1         cross-channel       PCG-fixed        m=40      94.5380           -            55      20.867      35.082
32         8      4       1e+06       1         cross-channel    PCG-adaptive         m=0       5.0989          40            40       0.701       1.765
32         8      4       1e+06       1         cross-channel      PCG-staged         m=0       5.0989          40            40       1.227       2.050
32         8      4       1e+06      17    meandering-channel       geometric         P_G       5.0989           -           258       0.130       5.469
32         8      4       1e+06      17    meandering-channel       PCG-fixed        m=40      94.5380           -           214       8.880      22.104
32         8      4       1e+06      17    meandering-channel    PCG-adaptive        m=12      44.2757          51            56      20.255      23.801
32         8      4       1e+06      17    meandering-channel      PCG-staged        m=20      71.2799          54            54      25.282      28.359

64         8      8       1e+02       1     diagonal-channels       geometric         P_G       5.6689           -           350       0.341      41.460
64         8      8       1e+02       1     diagonal-channels       PCG-fixed        m=40      75.5390           -           378      24.142      82.966
64         8      8       1e+02       1     diagonal-channels    PCG-adaptive        m=12      24.6651         162           228      65.001      91.854
64         8      8       1e+02       1     diagonal-channels      PCG-staged        m=12      24.6651         228           228     132.346     158.191
64         8      8       1e+02      17     parallel-channels       geometric         P_G       5.6689           -           265       0.357      28.686
64         8      8       1e+02      17     parallel-channels       PCG-fixed        m=40      75.5390           -           183      25.490      56.841
64         8      8       1e+02      17     parallel-channels    PCG-adaptive        m=12      24.6651         111           121      54.390      66.584
64         8      8       1e+02      17     parallel-channels      PCG-staged        m=12      24.6651         121           121      98.059     111.518
64         8      8       1e+04       1         cross-channel       geometric         P_G       5.6689           -           302       0.351      30.343
64         8      8       1e+04       1         cross-channel       PCG-fixed        m=40      75.5390           -           250      18.189     116.329
64         8      8       1e+04       1         cross-channel    PCG-adaptive        m=40      75.5390         138           250      74.929     108.892
64         8      8       1e+04       1         cross-channel      PCG-staged        m=34      65.7776         245           245     164.618     198.521
64         8      8       1e+04      17    meandering-channel       geometric         P_G       5.6689           -          1225       0.369     163.965
64         8      8       1e+04      17    meandering-channel       PCG-fixed        m=40      75.5390           -           203      23.911      56.224
64         8      8       1e+04      17    meandering-channel    PCG-adaptive        m=40      75.5390         154           203      53.588      87.862
64         8      8       1e+04      17    meandering-channel      PCG-staged        m=34      65.7776         158           158     144.751     166.472
64         8      8       1e+06       1     diagonal-channels       geometric         P_G       5.6689           -           435       0.337      40.231
64         8      8       1e+06       1     diagonal-channels       PCG-fixed        m=40      75.5390           -           290      22.165     135.718
64         8      8       1e+06       1     diagonal-channels    PCG-adaptive        m=12      24.6651         189           273      97.408     125.398
64         8      8       1e+06       1     diagonal-channels      PCG-staged        m=12      24.6651         273           273     142.215     167.023
64         8      8       1e+06      17     parallel-channels       geometric         P_G       5.6689           -           335       0.386      30.474
64         8      8       1e+06      17     parallel-channels       PCG-fixed        m=40      75.5390           -           187      24.574      56.295
64         8      8       1e+06      17     parallel-channels    PCG-adaptive        m=12      24.6651         126           160      65.751      82.520
64         8      8       1e+06      17     parallel-channels      PCG-staged        m=12      24.6651         160           160     113.221     131.297
64        16      4       1e+02       1         cross-channel       geometric         P_G       1.2346           -           313       0.493      32.157
64        16      4       1e+02       1         cross-channel       PCG-fixed        m=40      58.3662           -           112      95.783     141.246
64        16      4       1e+02       1         cross-channel    PCG-adaptive        m=12      13.1223          46            54      43.432      52.403
64        16      4       1e+02       1         cross-channel      PCG-staged        m=12      13.1223          54            54      99.398     108.413
64        16      4       1e+02      17    meandering-channel       geometric         P_G       1.2346           -           348       0.400      37.261
64        16      4       1e+02      17    meandering-channel       PCG-fixed        m=40      58.3662           -            48      84.741     111.013
64        16      4       1e+02      17    meandering-channel    PCG-adaptive        m=12      13.1223          44            48      43.208      51.253
64        16      4       1e+02      17    meandering-channel      PCG-staged        m=12      13.1223          48            48      44.179      51.368
64        16      4       1e+04       1     diagonal-channels       geometric         P_G       1.2346           -  failed@12000       0.513    1308.907
64        16      4       1e+04       1     diagonal-channels       PCG-fixed        m=40      58.3662           -            51     114.975     140.650
64        16      4       1e+04       1     diagonal-channels    PCG-adaptive        m=24      31.5204          47            55      99.227     112.849
64        16      4       1e+04       1     diagonal-channels      PCG-staged        m=28      38.2884          51            51     218.140     232.215
64        16      4       1e+04      17     parallel-channels       geometric         P_G       1.2346           -  failed@12000       0.466    1267.047
64        16      4       1e+04      17     parallel-channels       PCG-fixed        m=40      58.3662           -            51     106.530     125.275
64        16      4       1e+04      17     parallel-channels    PCG-adaptive        m=24      31.5204          48            55      89.728     103.345
64        16      4       1e+04      17     parallel-channels      PCG-staged        m=36      51.8535          51            51     231.208     249.371
64        16      4       1e+06       1         cross-channel       geometric         P_G       1.2346           -  failed@12000       0.474    1285.292
64        16      4       1e+06       1         cross-channel       PCG-fixed        m=40      58.3662           -           123      94.613     142.611
64        16      4       1e+06       1         cross-channel    PCG-adaptive        m=24      31.5204          57            63     163.921     179.412
64        16      4       1e+06       1         cross-channel      PCG-staged        m=28      38.2884          60            60     210.555     230.112
64        16      4       1e+06      17    meandering-channel       geometric         P_G       1.2346           -  failed@12000       0.427    1279.371
64        16      4       1e+06      17    meandering-channel       PCG-fixed        m=40      58.3662           -            51      89.949     108.049
64        16      4       1e+06      17    meandering-channel    PCG-adaptive        m=40      58.3662          45            51     148.721     168.831
64        16      4       1e+06      17    meandering-channel      PCG-staged        m=36      51.8535          55            55     195.788     216.843

