Sparse localization: relative magnitude pruning of the global basis
===================================================================

Fine grid              : h=1/64
Coarse grid            : H=1/8
Contrast               : 1e+04
Smoother               : one forward + one backward Gauss-Seidel
Outer tolerance        : 1e-6
Spectral iterations    : 80 (excluded from timing)
Timing                 : single build; median of 3 two-grid runs
Global solve tolerance : 1e-10

Note: For each column, an F entry is dropped when its magnitude is at most delta times that column's maximum magnitude. C injection is always preserved. Build and total times include construction of the dense global reference, so this is a diagnostic oracle study.

Global pruning study
--------------------
Field                    Method      Parameter      P nnz   Density %     Ac nnz    F residual  Energy error    Build ms  TG setup ms    Setup ms    Solve ms    Total ms     Cycles       Rho  Construct iters
-----------  ------------------  -------------  ---------  ----------  ---------  ------------  ------------  ----------  -----------  ----------  ----------  ----------  ---------  --------  ---------------
continuous        global-pruned     drop=0e+00     192129     98.7906       2401     8.996e-07     0.000e+00      72.106        3.416      75.522      37.384     112.907        111    0.9105            187.1
continuous        global-pruned     drop=1e-03      60461     31.0884       2143     5.853e+01     1.009e-02      71.629        1.427      73.056      16.110      89.420        111    0.9102            187.1
continuous        global-pruned     drop=3e-03      43314     22.2716       1813     1.670e+02     2.877e-02      71.790        1.273      73.063      13.817      86.880        111    0.9114            187.1
continuous        global-pruned     drop=1e-02      27453     14.1160       1305     4.796e+02     8.260e-02      71.826        1.021      72.847      13.797      86.666        112    0.9113            187.1
continuous        global-pruned     drop=2e-02      19601     10.0786       1025     8.360e+02     1.438e-01      73.053        0.833      73.886      11.567      85.438        111    0.9040            187.1
continuous        global-pruned     drop=3e-02      15765      8.1062        887     1.150e+03     1.991e-01      71.844        0.749      72.592      10.629      83.223        113    0.9044            187.1
continuous        global-pruned     drop=5e-02      11639      5.9846        685     1.780e+03     3.069e-01      71.694        0.645      72.339      11.971      84.311        122    0.9063            187.1
continuous        global-pruned     drop=1e-01       7140      3.6713        427     3.013e+03     5.254e-01      71.590        0.550      72.140      24.118      96.190        274    0.9476            187.1
continuous        global-pruned     drop=2e-01       3819      1.9637        243     5.077e+03     8.797e-01      71.541        0.455      71.995      47.311     119.390        624    0.9678            187.1

channel           global-pruned     drop=0e+00     192129     98.7906       2401     2.849e-06     0.000e+00      68.990        4.370      73.359      71.705     144.355        230    0.9488            186.1
channel           global-pruned     drop=1e-03      45153     23.2172       1519     1.873e+02     6.204e-03      69.078        1.342      70.420      30.394     100.815        230    0.9489            186.1
channel           global-pruned     drop=3e-03      35917     18.4681       1363     5.609e+02     1.862e-02      69.205        1.229      70.433      26.672      97.216        231    0.9490            186.1
channel           global-pruned     drop=1e-02      25780     13.2558       1117     1.841e+03     6.061e-02      69.255        0.975      70.230      26.766      96.910        231    0.9490            186.1
channel           global-pruned     drop=2e-02      19874     10.2190        943     3.488e+03     1.174e-01      69.207        0.946      70.153      22.305      92.554        232    0.9490            186.1
channel           global-pruned     drop=3e-02      16604      8.5376        847     5.132e+03     1.718e-01      69.150        0.869      70.019      21.206      91.193        232    0.9490            186.1
channel           global-pruned     drop=5e-02      12503      6.4289        679     8.875e+03     2.924e-01      69.075        0.772      69.846      20.377      90.261        236    0.9490            186.1
channel           global-pruned     drop=1e-01       7638      3.9274        441     1.708e+04     5.580e-01      68.988        0.519      69.507      20.327      89.926        250    0.9488            186.1
channel           global-pruned     drop=2e-01       3890      2.0002        243     2.870e+04     1.004e+00      68.913        0.589      69.502      51.598     121.101        574    0.9697            186.1

checker           global-pruned     drop=0e+00     192129     98.7906       2401     3.132e-06     0.000e+00      65.112        4.140      69.251      70.839     140.091        231    0.9490            173.9
checker           global-pruned     drop=1e-03      41942     21.5661       1489     1.369e+02     4.609e-03      64.765        1.341      66.107      28.025      94.133        232    0.9491            173.9
checker           global-pruned     drop=3e-03      34634     17.8084       1349     4.605e+02     1.546e-02      65.051        1.221      66.272      27.277      93.535        232    0.9491            173.9
checker           global-pruned     drop=1e-02      25411     13.0661       1117     1.648e+03     5.486e-02      64.888        1.399      66.286      26.414      93.019        232    0.9491            173.9
checker           global-pruned     drop=2e-02      19890     10.2272        967     3.194e+03     1.091e-01      64.825        0.859      65.685      23.194      88.880        232    0.9491            173.9
checker           global-pruned     drop=3e-02      16629      8.5504        873     4.895e+03     1.646e-01      64.866        0.921      65.788      21.993      87.639        233    0.9492            173.9
checker           global-pruned     drop=5e-02      12662      6.5107        703     8.307e+03     2.776e-01      64.776        0.806      65.582      23.248      88.716        233    0.9492            173.9
checker           global-pruned     drop=1e-01       7720      3.9695        451     1.669e+04     5.504e-01      64.716        0.595      65.311      21.275      86.586        234    0.9491            173.9
checker           global-pruned     drop=2e-01       4063      2.0892        263     2.832e+04     9.984e-01      64.610        0.660      65.270      67.208     132.287        736    0.9761            173.9

