Field,Interpolation,P nnz,F residual,Energy error,Cycles,Rho,Build ms,Solve ms
continuous,geometric,11025,3.967e+03,1.314e+00,118,0.9184,0.442,13.482
continuous,Jacobi-1,13377,2.709e+03,1.136e+00,117,0.9138,5.274,15.322
continuous,Jacobi-2,15729,2.152e+03,1.034e+00,113,0.9104,4.439,12.654
continuous,Jacobi-4,21189,1.581e+03,9.063e-01,106,0.9048,9.543,12.710
continuous,Jacobi-8,27533,1.078e+03,7.620e-01,95,0.8957,18.148,12.576
continuous,strength-distance,31409,3.023e+02,1.392e-01,135,0.8938,35.012,17.794
continuous,local-2,43729,9.381e+01,3.895e-02,112,0.8921,14.219,16.266
continuous,global-reference,192129,8.996e-07,0.000e+00,111,0.8924,118.883,39.421
channel,geometric,11025,1.666e+04,1.313e+00,212,0.9207,0.078,21.240
channel,Jacobi-1,13377,1.147e+04,1.202e+00,207,0.9223,3.255,22.092
channel,Jacobi-2,15729,9.530e+03,1.139e+00,203,0.9234,4.421,22.616
channel,Jacobi-4,21189,7.776e+03,1.052e+00,196,0.9243,8.594,27.898
channel,Jacobi-8,27376,6.181e+03,9.301e-01,185,0.9242,16.025,25.283
channel,strength-distance,31377,6.019e+02,5.001e-02,231,0.9263,41.707,30.010
channel,local-2,43729,5.457e+02,5.229e-02,232,0.9257,12.445,37.353
channel,global-reference,192129,2.849e-06,0.000e+00,230,0.9253,124.657,84.256
checker,geometric,11025,1.559e+04,1.298e+00,200,0.9409,0.079,22.372
checker,Jacobi-1,13377,1.109e+04,1.195e+00,189,0.9408,1.902,21.365
checker,Jacobi-2,15729,9.348e+03,1.134e+00,180,0.9404,1.805,23.548
checker,Jacobi-4,21189,7.701e+03,1.047e+00,166,0.9393,5.376,20.753
checker,Jacobi-8,27394,6.136e+03,9.234e-01,148,0.9361,11.534,21.843
checker,strength-distance,31182,5.287e+02,3.680e-02,231,0.9253,38.750,29.549
checker,local-2,43729,4.891e+02,4.913e-02,231,0.9252,9.897,41.097
checker,global-reference,191254,3.132e-06,0.000e+00,231,0.9249,96.748,62.355
