Field,Method,Parameter,P nnz,Density %,Ac nnz,F residual,Energy error,Build ms,TG setup ms,Setup ms,Solve ms,Total ms,Cycles,Rho,Construct iters
continuous,initial-geometric,m=0,11025,5.6689,361,3.967e+03,1.314e+00,0.203,0.510,0.712,10.025,10.714,118,0.9265,0.0
continuous,Jacobi,m=1,13377,6.8783,741,2.709e+03,1.136e+00,1.411,0.567,1.979,10.421,12.401,117,0.9220,1.0
continuous,Jacobi,m=2,15729,8.0877,841,2.152e+03,1.034e+00,2.010,0.722,2.733,10.209,12.985,113,0.9187,2.0
continuous,Jacobi,m=4,21489,11.0494,841,1.581e+03,9.063e-01,3.808,0.823,4.631,10.147,14.865,106,0.9136,4.0
continuous,Jacobi,m=8,34737,17.8614,1305,1.078e+03,7.620e-01,8.437,1.110,9.548,10.556,20.238,95,0.9060,8.0
continuous,Jacobi,m=16,63089,32.4397,2045,6.955e+02,6.110e-01,28.252,2.015,30.267,11.690,41.961,83,0.8971,16.0
continuous,Jacobi,m=32,121713,62.5835,2397,4.185e+02,4.616e-01,92.001,3.061,95.063,15.295,110.293,76,0.8896,32.0
continuous,PCG,m=1,13377,6.8783,741,2.672e+03,9.856e-01,1.708,0.640,2.348,9.516,11.962,109,0.9164,1.0
continuous,PCG,m=2,15729,8.0877,841,2.121e+03,8.083e-01,2.179,0.724,2.903,8.306,11.182,91,0.9081,2.0
continuous,PCG,m=4,21489,11.0494,841,1.422e+03,6.044e-01,3.324,0.803,4.127,7.489,11.617,78,0.8953,4.0
continuous,PCG,m=8,34737,17.8614,1305,7.463e+02,3.742e-01,4.610,1.364,5.975,9.300,15.197,82,0.8825,8.0
continuous,PCG,m=16,63089,32.4397,2045,3.253e+02,1.564e-01,7.879,1.647,9.526,17.659,27.175,106,0.9086,16.0
continuous,PCG,m=32,121713,62.5835,2397,4.723e+01,2.225e-02,16.215,2.974,19.189,24.565,43.743,111,0.9191,32.0
continuous,PCG-reference,tol=1e-10,192129,98.7906,2401,8.996e-07,0.000e+00,70.224,5.071,75.295,33.201,108.546,111,0.9105,187.1
channel,initial-geometric,m=0,11025,5.6689,361,1.666e+04,1.313e+00,0.314,0.665,0.978,20.225,21.234,212,0.9594,0.0
channel,Jacobi,m=1,13377,6.8783,741,1.147e+04,1.202e+00,1.423,0.669,2.092,21.613,23.522,207,0.9585,1.0
channel,Jacobi,m=2,15729,8.0877,841,9.530e+03,1.139e+00,2.296,0.776,3.072,21.625,24.847,203,0.9577,2.0
channel,Jacobi,m=4,21489,11.0494,841,7.776e+03,1.052e+00,4.377,1.020,5.398,21.649,27.921,196,0.9562,4.0
channel,Jacobi,m=8,34737,17.8614,1305,6.181e+03,9.301e-01,9.357,1.320,10.677,22.738,33.417,185,0.9529,8.0
channel,Jacobi,m=16,63089,32.4397,2045,4.521e+03,7.634e-01,26.135,1.592,27.727,25.271,53.016,164,0.9460,16.0
channel,Jacobi,m=32,121713,62.5835,2397,2.823e+03,5.689e-01,83.168,2.576,85.743,32.171,117.903,133,0.9318,32.0
channel,PCG,m=1,13377,6.8783,741,1.268e+04,1.122e+00,1.859,0.575,2.433,18.622,21.105,200,0.9571,1.0
channel,PCG,m=2,15729,8.0877,841,1.320e+04,9.779e-01,2.231,0.559,2.790,17.659,20.497,186,0.9526,2.0
channel,PCG,m=4,21489,11.0494,841,9.927e+03,6.814e-01,2.616,0.610,3.226,13.405,16.648,140,0.9331,4.0
channel,PCG,m=8,34737,17.8614,1305,4.872e+03,4.156e-01,4.113,0.673,4.785,14.061,18.847,106,0.9014,8.0
