Iterative localization: Jacobi/PCG steps with and without pruning
=================================================================

Fine grid             : h=1/128
Coarse grid           : H=1/16
Contrast              : 1e+04
Smoother              : one forward + one backward Gauss-Seidel
Outer tolerance       : 1e-6
Spectral iterations   : 80 (excluded from timing)
Timing                : single two-grid run (no median/repetition)
Initial interpolation : geometric; iterative rows start unpruned

Note: Jacobi and diagonal-PCG act on the same global F system and start from the same geometric interpolation. With diagonal preconditioning, one matrix action expands graph support by at most one edge. The strict PCG reference is shown only as the limiting target. For every step count, a second row applies the same post-construction relative column pruning (drop=1e-2) to expose the setup/sparsity/convergence trade-off without changing the iteration itself.

Fixed-step iterative construction
---------------------------------
Field                    Method      Parameter      P nnz   Density %     Ac nnz    F residual  Energy error    Build ms  TG setup ms    Setup ms    Solve ms    Total ms     Cycles       Rho  Construct iters
-----------  ------------------  -------------  ---------  ----------  ---------  ------------  ------------  ----------  -----------  ----------  ----------  ----------  ---------  --------  ---------------
continuous    initial-geometric            m=0      50625      1.3950       1849     1.440e+04     1.120e+00       0.538        1.512       2.051      28.172      30.223         87    0.8999              0.0
continuous               Jacobi            m=1      62385      1.7191       4085     1.022e+04     1.004e+00       3.807        2.061       5.868      33.864      39.733         78    0.8951              1.0
continuous               Jacobi  m=1, drop=1e-2      56569      1.5588       4085     1.045e+04     1.009e+00       4.572        1.697       6.269      34.614      40.884         76    0.8957              1.0
continuous               Jacobi            m=2      74145      2.0431       4761     8.568e+03     9.344e-01       8.043        2.122      10.165      32.447      42.613         72    0.8909              2.0
continuous               Jacobi  m=2, drop=1e-2      59189      1.6310       4085     8.701e+03     9.376e-01       9.201        1.574      10.775      31.156      41.932         71    0.8913              2.0
continuous               Jacobi            m=4     103265      2.8455       4761     6.864e+03     8.348e-01      15.574        2.394      17.969      30.209      48.179         69    0.8831              4.0
continuous               Jacobi  m=4, drop=1e-2      62503      1.7223       4085     7.132e+03     8.404e-01      16.797        1.711      18.508      27.779      46.288         66    0.8841              4.0
continuous               Jacobi            m=8     170913      4.7096       8073     5.093e+03     7.002e-01      40.223        3.633      43.856      30.433      74.290         65    0.8692              8.0
continuous               Jacobi  m=8, drop=1e-2      70156      1.9332       4107     5.446e+03     7.056e-01      41.358        1.976      43.334      29.337      72.672         65    0.8716              8.0
continuous               Jacobi           m=16     331329      9.1300      15501     3.350e+03     5.378e-01      98.074       12.092     110.165      35.577     145.743         63    0.8558             16.0
continuous               Jacobi  m=16, drop=1e-2      81585      2.2481       4567     3.863e+03     5.440e-01      99.062        2.220     101.282      27.924     129.207         63    0.8571             16.0
continuous                  PCG            m=1      62385      1.7191       4085     1.121e+04     8.986e-01      25.671        1.686      27.356      32.385      59.742         73    0.8849              1.0
continuous                  PCG  m=1, drop=1e-2      60806      1.6755       4085     1.125e+04     8.993e-01      26.503        1.617      28.120      30.646      58.767         73    0.8849              1.0
continuous                  PCG            m=2      74145      2.0431       4761     1.033e+04     7.050e-01      29.520        2.037      31.556      27.488      59.046         65    0.8626              2.0
continuous                  PCG  m=2, drop=1e-2      70338      1.9382       4089     1.043e+04     7.070e-01      31.054        2.228      33.282      31.704      64.987         65    0.8629              2.0
continuous                  PCG            m=4     103265      2.8455       4761     6.198e+03     4.836e-01      46.153        2.676      48.829      27.982      76.812         61    0.8599              4.0
continuous                  PCG  m=4, drop=1e-2      83333      2.2963       4711     6.537e+03     4.908e-01      47.875        2.159      50.034      27.385      77.420         61    0.8589              4.0
continuous                  PCG            m=8     170913      4.7096       8073     3.167e+03     2.812e-01      75.615        3.918      79.533      33.087     112.621         66    0.8548              8.0
continuous                  PCG  m=8, drop=1e-2     110945      3.0572       6759     3.890e+03     2.936e-01      77.326        3.127      80.453      29.051     109.505         66    0.8558              8.0
continuous                  PCG           m=16     331329      9.1300      15501     1.097e+03     1.024e-01     120.988        8.187     129.175      61.688     190.864        103    0.8899             16.0
continuous                  PCG  m=16, drop=1e-2     152690      4.2075       9383     2.579e+03     1.312e-01     123.912        4.246     128.158      50.245     178.403        101    0.8879             16.0
continuous        PCG-reference      tol=1e-10    3473783     95.7222      50625     3.993e-06     0.000e+00    1322.625      222.016    1544.640     184.333    1730.260         86    0.8742            170.1

channel       initial-geometric            m=0      50625      1.3950       1849     6.766e+04     1.365e+00       0.563        1.740       2.303    1770.691    1772.995  failed@4000    0.9884              0.0
channel                  Jacobi            m=1      62385      1.7191       4085     4.721e+04     1.251e+00       3.886        1.487       5.373    1777.794    1783.168  failed@4000    0.9885              1.0
channel                  Jacobi  m=1, drop=1e-2      56746      1.5637       4085     4.770e+04     1.253e+00       5.167        1.645       6.813    1766.439    1773.252  failed@4000    0.9885              1.0
channel                  Jacobi            m=2      74145      2.0431       4761     3.933e+04     1.185e+00       6.868        1.948       8.816    1831.645    1840.463  failed@4000    0.9885              2.0
channel                  Jacobi  m=2, drop=1e-2      58456      1.6108       4085     3.979e+04     1.187e+00       7.789        1.564       9.353    1686.750    1696.104  failed@4000    0.9885              2.0
channel                  Jacobi            m=4     103265      2.8455       4761     3.214e+04     1.094e+00      13.148        2.199      15.348    1695.565    1710.914  failed@4000    0.9887              4.0
channel                  Jacobi  m=4, drop=1e-2      61820      1.7035       4085     3.296e+04     1.098e+00      13.567        1.283      14.850    1377.924    1392.775  failed@4000    0.9887              4.0
channel                  Jacobi            m=8     170913      4.7096       8073     2.555e+04     9.650e-01      34.321        3.993      38.314    1616.573    1654.889  failed@4000    0.9892              8.0
channel                  Jacobi  m=8, drop=1e-2      68840      1.8969       4173     2.637e+04     9.680e-01      34.984        1.636      36.620    1432.458    1469.078  failed@4000    0.9893              8.0
channel                  Jacobi           m=16     331329      9.1300      15501     1.859e+04     7.896e-01     106.140        6.317     112.456    1985.221    2097.678  failed@4000    0.9913             16.0
channel                  Jacobi  m=16, drop=1e-2      78296      2.1575       4513     1.996e+04     7.932e-01     107.007        1.452     108.459    1318.578    1427.038  failed@4000    0.9911             16.0
channel                     PCG            m=1      62385      1.7191       4085     5.235e+04     1.163e+00      18.755        0.886      19.641    1303.823    1323.464  failed@4000    0.9888              1.0
channel                     PCG  m=1, drop=1e-2      59620      1.6429       4085     5.253e+04     1.163e+00      19.794        1.340      21.133    1695.870    1717.005  failed@4000    0.9887              1.0
