Contrast and scale robustness with one deterministic RHS
========================================================

Scales    : 2
Contrasts : 1e2, 1e4, 1e6
Seed      : 1
RHS       : one manufactured solution

Note: This script intentionally removes repeated seeds and multiple RHS. It keeps the two dimensions that changed the qualitative conclusion: coefficient contrast and physical grid scale.

Robustness comparison
---------------------
Fine/Coarse    Contrast         Field              Method       P nnz        Cycles     Build ms     Solve ms
-----------  ----------  ------------  ------------------  ----------  ------------  -----------  -----------
64/8              1e+02    continuous           geometric       11025            84        0.434        9.540
64/8              1e+02    continuous            Jacobi-4       21189            81       11.217       23.586
64/8              1e+02    continuous             local-3       82201            90       33.751       34.524
64/8              1e+02    continuous          strong-K64       46022            90       24.593       10.614
64/8              1e+02    continuous    global-reference      192129            90       84.215       26.990
64/8              1e+02       channel           geometric       11025           177        0.104       18.271
64/8              1e+02       channel            Jacobi-4       21189           165        2.978       20.302
64/8              1e+02       channel             local-3       82201           185       22.127       41.524
64/8              1e+02       channel          strong-K64       46862           185       22.364       30.564
64/8              1e+02       channel    global-reference      192129           185       92.942       50.291
64/8              1e+02       checker           geometric       11025           158        0.079       16.477
64/8              1e+02       checker            Jacobi-4       21189           141        6.383       16.592
64/8              1e+02       checker             local-3       82201           186       20.126       28.649
64/8              1e+02       checker          strong-K64       46864           186       22.666       21.079
64/8              1e+02       checker    global-reference      192129           186       91.540       48.286
64/8              1e+04    continuous           geometric       11025           118        0.181       12.274
64/8              1e+04    continuous            Jacobi-4       21189           106        4.493       16.725
64/8              1e+04    continuous             local-3       82201           111       22.140       19.143
64/8              1e+04    continuous          strong-K64       43783           112       18.717       14.003
64/8              1e+04    continuous    global-reference      192129           111       96.246       32.364
64/8              1e+04       channel           geometric       11025           212        0.136       32.719
64/8              1e+04       channel            Jacobi-4       21189           196        2.901       28.857
64/8              1e+04       channel             local-3       82201           230       20.641       36.964
64/8              1e+04       channel          strong-K64       46862           231       20.713       30.091
64/8              1e+04       channel    global-reference      192129           230      121.863       62.425
64/8              1e+04       checker           geometric       11025           200        0.101       23.504
64/8              1e+04       checker            Jacobi-4       21189           166        5.069       21.811
64/8              1e+04       checker             local-3       82201           231       34.129       34.915
64/8              1e+04       checker          strong-K64       46864           231       24.802       29.699
64/8              1e+04       checker    global-reference      191254           231       98.090       61.245
64/8              1e+06    continuous           geometric       11025           172        0.078       18.108
64/8              1e+06    continuous            Jacobi-4       21189           148        5.793       18.358
64/8              1e+06    continuous             local-3       82201           156       26.093       22.848
64/8              1e+06    continuous          strong-K64       43745           156       20.182       42.416
64/8              1e+06    continuous    global-reference      192129           156      131.307       40.289
64/8              1e+06       channel           geometric       11025           212        0.077       22.802
64/8              1e+06       channel            Jacobi-4       21111           197        3.303       23.521
64/8              1e+06       channel             local-3       82075           230       22.577       35.374
64/8              1e+06       channel          strong-K64       46792           232       22.628       29.737
64/8              1e+06       channel    global-reference      189956           230      113.506       57.083
64/8              1e+06       checker           geometric       11025           201        0.070       21.085
64/8              1e+06       checker            Jacobi-4       21109           166        3.711       19.839
64/8              1e+06       checker             local-3       81930           232       23.718       32.070
64/8              1e+06       checker          strong-K64       46726           232       25.375       27.164
64/8              1e+06       checker    global-reference      172866           232      118.585       52.590

128/16            1e+02    continuous           geometric       50625            66        0.323       25.127
128/16            1e+02    continuous            Jacobi-4      101237            61       40.559       25.523
128/16            1e+02    continuous             local-3      455337            82      137.047       89.943
128/16            1e+02    continuous          strong-K64      230980            82      119.297       39.918
128/16            1e+02    continuous    global-reference     3387181            82     1682.265      750.005
128/16            1e+02       channel           geometric       50625           686        0.284      211.340
128/16            1e+02       channel            Jacobi-4      101237           527       17.143      178.437
128/16            1e+02       channel             local-3      455337           807      129.538      482.806
128/16            1e+02       channel          strong-K64      235419           965      118.933      515.235
128/16            1e+02       channel    global-reference     3444335           571     2218.230     2348.177
128/16            1e+02       checker           geometric       50625           505        0.312      238.630
128/16            1e+02       checker            Jacobi-4      101237           404       13.578      197.837
128/16            1e+02       checker             local-3      455337           174      156.912      144.456
128/16            1e+02       checker          strong-K64      235355           174      120.899       90.771
128/16            1e+02       checker    global-reference     3316386           174     2010.731      979.006
128/16            1e+04    continuous           geometric       50625            87        0.376       38.267
128/16            1e+04    continuous            Jacobi-4      101237            69       18.562       31.916
128/16            1e+04    continuous             local-3      455337            86      124.685       88.945
128/16            1e+04    continuous          strong-K64      221669            86       82.260       79.582
128/16            1e+04    continuous    global-reference     3436812            86     1684.620      743.785
128/16            1e+04       channel           geometric       50625   failed@4000        0.291     1588.547
128/16            1e+04       channel            Jacobi-4      101237   failed@4000       20.967     1796.459
128/16            1e+04       channel             local-3      455337   failed@4000      129.186     2633.260
128/16            1e+04       channel          strong-K64      235360          3960      152.682     2020.832
128/16            1e+04       channel    global-reference     2727127          2416     2474.236     7209.899
128/16            1e+04       checker           geometric       50625   failed@4000        0.295     1481.157
128/16            1e+04       checker            Jacobi-4      101237   failed@4000       14.044     1546.992
128/16            1e+04       checker             local-3      455337           217      118.849      157.830
128/16            1e+04       checker          strong-K64      235298           358      102.434      187.317
128/16            1e+04       checker    global-reference     2401257           217     1887.134      819.310
128/16            1e+06    continuous           geometric       50625           146        0.283       62.461
128/16            1e+06    continuous            Jacobi-4      101237            83       14.172       41.946
128/16            1e+06    continuous             local-3      455337           107      134.737       92.867
128/16            1e+06    continuous          strong-K64      221246           106       71.545       57.240
128/16            1e+06    continuous    global-reference     3390505           107     1829.847      705.537
128/16            1e+06       channel           geometric       50625          2040        0.313      765.618
