Field,Method,Parameter,P nnz,Density %,Ac nnz,F residual,Energy error,Build ms,TG setup ms,Setup ms,Solve ms,Total ms,Cycles,Rho,Construct iters
continuous,local-energy-3,tol=1e-02,358176,9.8698,18467,3.831e+02,3.352e-02,34.562,6.915,41.477,37.858,79.336,86,0.8745,31.5
continuous,local-energy-3,tol=3e-03,429815,11.8438,21923,1.269e+02,1.084e-02,40.095,6.647,46.742,42.100,88.843,86,0.8744,39.7
continuous,local-energy-3,tol=1e-03,452247,12.4619,23037,7.068e+01,6.145e-03,46.594,6.732,53.327,37.130,90.457,86,0.8743,46.6
continuous,local-energy-3,tol=3e-04,455303,12.5462,23085,6.151e+01,5.326e-03,60.570,6.677,67.248,43.986,111.234,86,0.8742,54.2
continuous,local-energy-3,tol=1e-04,455337,12.5471,23085,6.016e+01,5.239e-03,57.601,73.244,130.844,40.827,171.674,86,0.8742,61.2
continuous,local-energy-3,tol=1e-10,455337,12.5471,23085,5.990e+01,5.231e-03,124.759,10.383,135.142,39.430,174.572,86,0.8742,139.3
channel,local-energy-3,tol=1e-02,408664,11.2610,20939,1.246e+03,3.277e-02,68.145,14.895,83.040,2651.336,2734.376,failed@4000,0.9867,38.6
channel,local-energy-3,tol=3e-03,442840,12.2027,22529,6.774e+02,2.162e-02,63.000,15.806,78.806,2713.013,2791.819,failed@4000,0.9876,48.9
channel,local-energy-3,tol=1e-03,450004,12.4001,22921,6.022e+02,2.033e-02,72.562,13.039,85.601,3016.763,3102.365,failed@4000,0.9882,58.1
channel,local-energy-3,tol=3e-04,452339,12.4645,22991,5.922e+02,2.020e-02,88.745,11.619,100.364,2726.437,2826.802,failed@4000,0.9882,67.3
channel,local-energy-3,tol=1e-04,453779,12.5042,23041,5.906e+02,2.019e-02,105.091,9.421,114.512,2566.753,2681.266,failed@4000,0.9882,75.4
channel,local-energy-3,tol=1e-10,455337,12.5471,23085,5.903e+02,2.018e-02,190.406,10.898,201.304,2556.079,2757.384,failed@4000,0.9882,174.2
checker,local-energy-3,tol=1e-02,402919,11.1027,20705,1.153e+03,2.679e-02,42.386,9.206,51.592,344.297,395.890,583,0.9861,37.3
checker,local-energy-3,tol=3e-03,439977,12.1238,22429,4.826e+02,1.133e-02,53.581,8.880,62.461,130.035,192.498,221,0.9485,47.0
checker,local-energy-3,tol=1e-03,448174,12.3497,22863,3.523e+02,8.833e-03,55.589,16.070,71.659,156.725,228.384,217,0.9381,55.5
checker,local-energy-3,tol=3e-04,451287,12.4355,22963,3.334e+02,8.546e-03,84.702,9.910,94.612,115.989,210.602,217,0.9384,64.3
checker,local-energy-3,tol=1e-04,453313,12.4913,23031,3.317e+02,8.521e-03,75.518,9.114,84.633,132.523,217.158,217,0.9384,72.1
checker,local-energy-3,tol=1e-10,455337,12.5471,23085,3.313e+02,8.518e-03,169.528,10.640,180.167,129.848,310.017,217,0.9384,165.5
