Algebraic localization: PCG tolerance on a fixed local support
==============================================================

Fine grid           : h=1/64
Coarse grid         : H=1/8
Contrast            : 1e+04
Smoother            : one forward + one backward Gauss-Seidel
Outer tolerance     : 1e-6
Spectral iterations : 80 (excluded from timing)
Timing              : single build; median of 3 two-grid runs
Fixed support       : three coarse patch layers

Note: The support is identical in every row. The 1e-10 case is the reference-accurate local minimizer, not a direct solve.

PCG tolerance study
-------------------
Field                    Method      Parameter      P nnz   Density %     Ac nnz    F residual  Energy error    Build ms  TG setup ms    Setup ms    Solve ms    Total ms     Cycles       Rho  Construct iters
-----------  ------------------  -------------  ---------  ----------  ---------  ------------  ------------  ----------  -----------  ----------  ----------  ----------  ---------  --------  ---------------
continuous       local-energy-3      tol=1e-02      72332     37.1923       2199     8.929e+01     3.647e-02       7.072        1.591       8.662      15.830      24.617        111    0.9101             34.6
continuous       local-energy-3      tol=3e-03      80582     41.4344       2367     2.896e+01     1.356e-02       8.837        1.839      10.677      18.010      28.688        111    0.9106             44.3
continuous       local-energy-3      tol=1e-03      82066     42.1974       2395     1.480e+01     6.547e-03      10.012        2.033      12.045      21.226      33.272        111    0.9105             52.6
continuous       local-energy-3      tol=3e-04      82201     42.2669       2397     1.207e+01     5.255e-03      13.961        2.233      16.194      18.709      34.904        111    0.9105             62.3
continuous       local-energy-3      tol=1e-04      82201     42.2669       2397     1.175e+01     5.135e-03      12.695        1.885      14.580      20.286      34.866        111    0.9105             70.7
continuous       local-energy-3      tol=1e-10      82201     42.2669       2397     1.174e+01     5.123e-03      26.430        1.841      28.272      20.823      49.060        111    0.9105            155.8

channel          local-energy-3      tol=1e-02      74487     38.3004       2283     2.839e+02     2.628e-02       8.477        1.902      10.379      34.321      44.722        230    0.9488             36.4
channel          local-energy-3      tol=3e-03      80883     41.5892       2359     1.394e+02     1.290e-02       8.597        2.214      10.812      34.879      45.688        230    0.9488             45.1
channel          local-energy-3      tol=1e-03      81884     42.1039       2387     1.158e+02     1.114e-02       9.928        2.141      12.068      42.407      54.559        230    0.9488             53.4
channel          local-energy-3      tol=3e-04      81956     42.1409       2387     1.124e+02     1.094e-02      11.699        2.024      13.723      44.513      58.141        230    0.9488             62.2
channel          local-energy-3      tol=1e-04      82068     42.1985       2393     1.122e+02     1.092e-02      14.261        2.108      16.369      35.146      51.552        230    0.9488             69.8
channel          local-energy-3      tol=1e-10      82201     42.2669       2397     1.122e+02     1.092e-02      25.703        2.059      27.761      38.104      65.866        230    0.9488            153.1

checker          local-energy-3      tol=1e-02      74206     38.1559       2277     2.793e+02     2.546e-02       7.511        1.959       9.470      32.875      42.209        231    0.9490             36.4
checker          local-energy-3      tol=3e-03      80156     41.2153       2343     1.377e+02     1.297e-02       9.213        2.165      11.378      36.800      48.123        231    0.9490             45.0
checker          local-energy-3      tol=1e-03      81320     41.8139       2383     1.122e+02     1.108e-02      10.200        2.178      12.377      38.337      50.683        231    0.9490             53.2
checker          local-energy-3      tol=3e-04      81508     41.9105       2383     1.090e+02     1.089e-02      11.092        2.149      13.241      36.641      49.882        231    0.9490             61.7
checker          local-energy-3      tol=1e-04      81847     42.0848       2393     1.086e+02     1.087e-02      12.501        2.024      14.525      39.063      53.331        231    0.9490             69.1
checker          local-energy-3      tol=1e-10      82201     42.2669       2397     1.086e+02     1.087e-02      25.046        2.012      27.058      35.534      62.750        231    0.9490            146.2

