Support strategies with budget-matched global pruning
=====================================================

Fine grid   : h=1/128
Coarse grid : H=1/16
Contrast    : 1e+04
RHS         : one manufactured solution

Note: Oracle uses the same F-entry count in every column as the candidate, selects entries from the global basis by |p_i|sqrt(A_ii), and then re-minimizes energy. It is an offline comparator, not a practical setup algorithm.

Unified support comparison
--------------------------
Field                     Method       P nnz   Err to global   Err to oracle        Cycles        Rho   Oracle cycles     Build ms    Oracle ms
------------  ------------------  ----------  --------------  --------------  ------------  ---------  --------------  -----------  -----------
continuous             geometric       50625       1.120e+00       1.056e+00            87     0.8597             785        1.860      177.337
continuous               local-2      221089       3.786e-02       3.557e-02            86     0.8515              86       80.284      140.570
continuous               local-3      455337       5.231e-03       4.987e-03            86     0.8511              86      139.293      213.795
continuous            strong-K64      221669       3.780e-02       3.550e-02            86     0.8515              86      152.778      127.418
continuous       residual-budget      226321       2.637e-02       2.418e-02            86     0.8516              86      379.821      129.904
continuous      global-reference     3436812       0.000e+00       0.000e+00            86     0.8511               -     1800.214            -

channel                geometric       50625       1.365e+00       1.324e+00   failed@4000     0.9386     failed@4000        0.426       99.185
channel                  local-2      221089       5.856e-02       5.866e-02   failed@4000     0.9221            2427       57.631      137.748
channel                  local-3      455337       2.018e-02       2.019e-02   failed@4000     0.9167            2417      142.439      258.677
channel               strong-K64      235360       3.590e-02       3.604e-02          3960     0.9284            2425      134.708      136.063
channel          residual-budget      226416       2.785e-02       2.802e-02          2582     0.9319            2426      308.469      134.433
channel         global-reference     2727127       0.000e+00       0.000e+00          2416     0.9160               -     2436.760            -

checker                geometric       50625       1.345e+00       1.307e+00   failed@4000     0.9114     failed@4000        0.320      102.201
checker                  local-2      221089       4.597e-02       4.604e-02          1475     0.9137             217       50.357      126.555
checker                  local-3      455337       8.518e-03       8.518e-03           217     0.9068             217      123.156      215.479
checker               strong-K64      235298       2.606e-02       2.613e-02           358     0.9222             217      107.141      120.879
checker          residual-budget      226336       2.195e-02       2.202e-02           219     0.9269             217      228.547      118.243
checker         global-reference     2401257       0.000e+00       0.000e+00           217     0.9054               -     1705.306            -

