Field,Method,Parameter,P nnz,Density %,Ac nnz,F residual,Energy error,Build ms,TG setup ms,Setup ms,Solve ms,Total ms,Cycles,Rho,Construct iters
continuous,local-energy,layers=2,221089,6.0922,12741,4.270e+02,3.786e-02,51.983,5.549,57.532,40.878,98.412,86,0.8745,113.4
continuous,local-energy,layers=3,455337,12.5471,23085,5.990e+01,5.231e-03,136.114,9.839,145.954,53.284,199.239,86,0.8742,139.3
continuous,local-energy,layers=4,745641,20.5466,33293,8.286e+00,7.333e-04,250.975,17.190,268.165,61.721,329.887,86,0.8742,153.7
continuous,global-energy,layers=inf,3473783,95.7222,50625,3.993e-06,0.000e+00,1345.640,206.433,1552.073,178.176,1732.245,86,0.8742,170.1
channel,local-energy,layers=2,221089,6.0922,12741,2.175e+03,5.856e-02,56.947,4.094,61.041,2128.933,2189.975,failed@4000,0.9935,131.8
channel,local-energy,layers=3,455337,12.5471,23085,5.903e+02,2.018e-02,157.476,9.547,167.023,2527.201,2694.225,failed@4000,0.9882,174.2
channel,local-energy,layers=4,745641,20.5466,33293,2.532e+02,1.226e-02,305.262,14.885,320.147,2845.787,3165.935,3742,0.9878,198.2
channel,global-energy,layers=inf,3550710,97.8420,50625,1.308e-05,0.000e+00,1928.341,215.813,2144.155,5136.418,7282.485,2416,0.9886,241.8
checker,local-energy,layers=2,221089,6.0922,12741,1.805e+03,4.597e-02,67.627,4.596,72.223,726.066,798.290,1475,0.9955,128.4
checker,local-energy,layers=3,455337,12.5471,23085,3.313e+02,8.518e-03,178.674,8.070,186.744,136.582,323.328,217,0.9384,165.5
checker,local-energy,layers=4,745641,20.5466,33293,6.138e+01,1.626e-03,311.905,20.938,332.843,171.329,504.174,217,0.9391,183.8
checker,global-energy,layers=inf,3520043,96.9969,50625,1.348e-05,0.000e+00,1522.513,287.626,1810.139,555.622,2367.591,217,0.9391,194.3
