Spatial localization: P_G, local support radius and global reference
====================================================================

Fine grid              : h=1/128
Coarse grid            : H=1/16
Contrast               : 1e+04
Smoother               : one forward + one backward Gauss-Seidel
Outer tolerance        : 1e-6
Spectral iterations    : 80 (excluded from timing)
Timing                 : single two-grid run (no median/repetition)
Energy solve tolerance : 1e-10 for every support

Note: P_G is the pure geometric bilinear baseline. The energy rows only change support radius; their common PCG tolerance makes algebraic stopping error negligible relative to localization.

Support radius study
--------------------
Field                    Method             Parameter   Density %     Ac nnz    F residual    Build ms  TG setup ms    Setup ms    Solve ms    Total ms        Cycles       Rho  Construct iters
-----------  ------------------  --------------------  ----------  ---------  ------------  ----------  -----------  ----------  ----------  ----------  ------------  --------  ---------------
continuous            geometric                   P_G      1.3950       1849     1.440e+04       0.324        1.078       1.401      25.983      27.385            87    0.8999              0.0
continuous         local-energy              layers=2      6.0922      12741     4.270e+02      97.061        5.897     102.958      32.585     135.681            86    0.8745            113.4
continuous         local-energy              layers=3     12.5471      23085     5.990e+01     151.284       10.278     161.562      52.336     214.136            86    0.8742            139.3
continuous         local-energy              layers=4     20.5466      33293     8.286e+00     288.602       20.432     309.034      71.463     380.499            86    0.8742            153.7
continuous        global-energy            layers=inf     95.7222      50625     3.993e-06    1503.099      228.449    1731.548     214.680    1946.230            86    0.8742            170.1

channel               geometric                   P_G      1.3950       1849     6.766e+04       0.214        0.736       0.950    5845.985    5846.936         16142    0.9884              0.0
channel            local-energy              layers=2      6.0922      12741     2.175e+03      63.344        4.871      68.215    2293.193    2361.409          4768    0.9935            131.8
channel            local-energy              layers=3     12.5471      23085     5.903e+02     168.779       10.127     178.905    2636.577    2815.483          4262    0.9882            174.2
channel            local-energy              layers=4     20.5466      33293     2.532e+02     308.895       17.604     326.499    2846.651    3173.151          3742    0.9878            198.2
channel           global-energy            layers=inf     97.8420      50625     1.308e-05    2034.204      211.066    2245.271    5360.650    7607.324          2416    0.9886            241.8

checker               geometric                   P_G      1.3950       1849     6.419e+04       0.795        1.127       1.922    6380.315    6382.238         16392    0.9944              0.0
checker            local-energy              layers=2      6.0922      12741     1.805e+03      61.291        5.293      66.585     694.707     761.293          1475    0.9955            128.4
checker            local-energy              layers=3     12.5471      23085     3.313e+02     168.092        7.574     175.666     113.725     289.393           217    0.9384            165.5
checker            local-energy              layers=4     20.5466      33293     6.138e+01     314.822       16.933     331.755     142.965     474.721           217    0.9391            183.8
checker           global-energy            layers=inf     96.9969      50625     1.348e-05    1476.862      248.000    1724.863     537.947    2264.248           217    0.9391            194.3

