Field,Method,Parameter,Density %,Ac nnz,F residual,Build ms,TG setup ms,Setup ms,Solve ms,Total ms,Cycles,Rho,Construct iters
continuous,base-local,layers=2,6.0922,12741,4.270e+02,39.910,4.443,44.353,33.763,78.212,86,0.8745,76.1
continuous,geometric-layer,2 -> 3,12.5471,23085,5.990e+01,90.005,8.988,98.993,38.850,138.080,86,0.8742,89.1
continuous,residual-strong,K=64 one-shot,6.1082,12755,4.287e+02,52.562,5.845,58.406,35.272,93.679,86,0.8745,39.8
continuous,residual-budget,"R=8, B=128, q=16",6.2364,12903,3.037e+02,144.137,4.741,148.878,35.056,183.934,86,0.8744,0.0
channel,base-local,layers=2,6.0922,12741,2.175e+03,50.388,4.031,54.419,1963.030,2017.451,4768,0.9935,92.2
channel,geometric-layer,2 -> 3,12.5471,23085,5.903e+02,118.337,7.685,126.022,2303.138,2429.351,4262,0.9882,111.4
channel,residual-strong,K=64 one-shot,6.4855,14525,1.393e+03,106.188,4.130,110.318,1874.412,1984.731,3960,0.9843,65.7
channel,residual-budget,"R=8, B=128, q=16",6.2390,13197,1.168e+03,197.244,5.072,202.317,1121.021,1323.338,2582,0.9843,0.0
checker,base-local,layers=2,6.0922,12741,1.805e+03,40.847,4.720,45.567,731.959,777.527,1475,0.9955,89.1
checker,geometric-layer,2 -> 3,12.5471,23085,3.313e+02,97.394,12.692,110.086,127.744,238.021,217,0.9384,104.9
checker,residual-strong,K=64 one-shot,6.4838,14125,1.107e+03,80.997,6.109,87.106,176.204,263.311,358,0.9815,59.6
checker,residual-budget,"R=8, B=128, q=16",6.2368,13127,9.321e+02,171.506,8.078,179.583,109.376,288.960,219,0.9783,0.0
